id,division_id,identifier,alternate_identifier,position,abstract,organization,application_fee,processing_fee,date,decision,byte_size,number_of_pages,number_of_rows
223,ocd-division/country:ca/province:nl,NR/18/2012,,18,"Any and all expenditures related to the Chinese Iron and Steel Association visit and any other meetings or events hosted/attended by Chinese delegates during the time period of January 1, 2010 to May 15, 2012.",Natural Resources,5.00,0.00,2013-04-23,all disclosed,238010,2,
607,ocd-division/country:ca/province:nl,NR/19/2012,,19,"Costs and details associated with the design, production and distribution costs related to the Muskrat Falls “The power is in our hands” householder including costs of design, costs of printing, numbers of pieces printed, costs of distribution and numbers of pieces distributed broken down by channel. Costs and details associated with the design, production and distribution costs related to the Muskrat Falls “The power is in our hands” website.  Copies of the algorithms, code and underlying data behind the costs calculate on the “Power is in our hands” website. ",Natural Resources,5.00,0.00,2013-04-23,all disclosed,282795,3,
624,ocd-division/country:ca/province:nl,NR/2/2013,,2,"A breakdown of all expenditures referenced in the attached press releases (sections highlighted) for mine site remediation & assessment. Request includes payee, amount, date and reason for payment.",Natural Resources,5.00,0.00,2013-04-23,all disclosed,963210,6,
646,ocd-division/country:ca/province:nl,NR/22/2012,,22,Copies of the 2011 and 2012 Detailed Dam Safety Reviews.,Natural Resources,0.00,0.00,2013-04-23,nothing disclosed,198998,1,
606,ocd-division/country:ca/province:nl,NR/4/2013,NR/4/2012,4,The final cost for the Muskrat Falls publicity campaign including all production and advertising costs.,Natural Resources,5.00,0.00,2013-04-23,all disclosed,459823,2,
182,ocd-division/country:ca/province:nl,NR/5/2013,,5,"Cost of Muskrat Falls signing event held Monday, December 17, 2012, including rentals, professional services and associated costs and the associated costs with event postponement.",Natural Resources,5.00,0.00,2013-04-23,all disclosed,533792,2,
313,ocd-division/country:ca/province:nl,OCIO/1/2013,,1,"Please indicate whether the new website for the Government of Newfoundland and Labrador, as referenced in the February 28, 2013 release ""Parliamentary Secretary to Unveil New Look for Provincial Government's Web Site"" was completed in-house or externally. Please provide a total cost breakdown associated with designing the new website. If completed externally, please indicate which agency was hired to complete the work. Please provide a copy of the contract and/or terms of reference.",Office of the Chief Information Officer,5.00,0.00,2013-04-23,all disclosed,187916,1,
611,ocd-division/country:ca/province:nl,PRE/2/2013,,2,"Correspondence in any and all formats, including paper and electronic between Quebec Premier Jean Charest and NL Kathy Dunderdale. Date range of request is July 1, 2012 to the present.",Premier's Office,5.00,0.00,2013-04-23,all disclosed,174353,4,
621,ocd-division/country:ca/province:nl,PRE/4/2013,,4,Copy of the letter that the City of Corner Brook sent to the Premier’s Office regarding the Corner Brook Hospital in the fall of 2012 as well as a copy of the government response(s) to it.,Premier's Office,5.00,0.00,2013-04-23,all disclosed,170726,3,
207,ocd-division/country:ca/province:nl,PRE/6/2013,,6,"Executive Council or the Premier’s Office between December 16, 2012 and January 18, 2013 regarding the appointment of Ross Reid to Deputy Minister, Responsible for the Population Growth Strategy.",Premier's Office,5.00,0.00,2013-04-23,all disclosed,208812,4,
168,ocd-division/country:ca/province:nl,SNL/2/2013,,2,"Copy of Rules and Regulations used by the Tenancy Board for hearings, etc. Please identify when the Rules and Regulations were approved for use.",Service NL,5.00,0.00,2013-04-23,all disclosed,1049107,10,
625,ocd-division/country:ca/province:nl,SNL/26/2012,,26,"All stop work orders, all directives and all correspondence, either paper or electronic, between Occupational Health and Safety and the contractor constructing an office tower at the corner bounded by Springdale Street, New Gower Street and Hamilton Avenue. Extension, also known as the former Horwood Lumber site. From August 1, 2012 to November 30, 2012.",Service NL,5.00,0.00,2013-04-23,disclosed in part,903332,10,
356,ocd-division/country:ca/province:nl,SNL/6/2013,,6,"Information concerning the recent awarding of a contract to Morneau Shepell to conduct a medical audit representing a sample of current and former mine workers in Labrador West as the result of silica dust exposure. Request for the tender notice for this contract, any associated tender documents, expressions of interest, requests for proposals and any correspondence either written or electronic from the Government of Newfoundland and Labrador or any agents of the Government of Newfoundland and Labrador.",Service NL,5.00,0.00,2013-04-23,all disclosed,815759,21,
418,ocd-division/country:ca/province:nl,TCR/1/2013,,1,All briefing books and other documents given to the new minister to brief him on departmental issues.,"Tourism, Culture and Recreation",5.00,0.00,2013-04-23,nothing disclosed,217377,2,
488,ocd-division/country:ca/province:nl,TW/1/2013,,1,A copy of the written regulation/policy which determines the direction taken by Transportation and Works as it relates to the installation of turning lanes along Route 460.,Transportation and Works,5.00,0.00,2013-04-23,all disclosed,184695,2,
169,ocd-division/country:ca/province:nl,TW/10/2013,,10,"Copy of specific locations along provincial highways (100, 200, 300, 400, 500 series) where auxiliary lanes have been installed at the sole cost of the proponents to accommodate new development.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,3161269,1,
337,ocd-division/country:ca/province:nl,TW/11/2013,,11,"Copies of all records of all regulations or policies that have been adopted by Transportation and Works since 2010 in regards to installation of auxiliary turning lanes along provincial highways and roads showing policy numbers, effective date and signed authority to enact said policy.",Transportation and Works,5.00,0.00,2013-04-23,nothing disclosed,4557018,2,
336,ocd-division/country:ca/province:nl,TW/12/2013,,12,"Copies of all legislation (act, regulation and policy) which reference criteria for commercial and residential development along provincial highways/trunk roads/etc. Copies are to include policy number, effective date and signature.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,13252594,32,
465,ocd-division/country:ca/province:nl,TW/14/2013,,14,"A copy of the engineering report related to the structural issues in the confederation building, in particular, the issues associated with the 8th floor of the East Block of the Confederation Building.",Transportation and Works,5.00,0.00,2013-04-23,disclosed in part,12807236,112,
472,ocd-division/country:ca/province:nl,TW/15/2013,,15,"A copy of the logs/work orders associated with any requests to Transportation and Works for maintenance issues on the 8th floor of the East Block, Confederation Building, that include date called, issue, details of follow up and work completed. The timeframe associated with this request should be from December 2010 to present.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,14416689,3,
184,ocd-division/country:ca/province:nl,TW/17/2013,,17,"Departure and arrival time logs for the Bell Island ferries for the time period of September 1, 2012 to February 26, 2013, inclusive. This should include the name of the vessel and the time it arrived/departed at each port throughout the day.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,4488930,171,
121,ocd-division/country:ca/province:nl,TW/18/2013,,18,"The original budget for each phase of the development of the Royal Newfoundland Constabulary building in Fort Townshend, the current expenditures to date as well as the revised new budget for each phase. Please include the original as well as new expected completion date.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,4652997,2,
612,ocd-division/country:ca/province:nl,TW/2/2013,,2,All briefing books and other documents given to the new minister to brief him on departmental issues and briefing information for Newfoundland and Labrador Housing Corporation.,Transportation and Works,5.00,0.00,2013-04-23,nothing disclosed,146997,2,
504,ocd-division/country:ca/province:nl,TW/20/2013,,20,A list of public tenders issued to date for the overall project to upgrade and renovate the Confederation Building.,Transportation and Works,5.00,0.00,2013-04-23,all disclosed,5431466,2,
101,ocd-division/country:ca/province:nl,TW/26/2012,,26,"Request for tender and contract information for Labrador Ferry Services, including when contract posted by the successful contractor, information about performance security posted, copies of contract compliance performance audits, deficiency notices issued or similar reports, whether any contractual penalties have been issued and amounts and payment for ferry while out for repairs.",Transportation and Works,5.00,0.00,2013-04-23,nothing disclosed,470781,3,
603,ocd-division/country:ca/province:nl,TW/3/2013,,3,The current list of roads in Newfoundland maintained by the provincial government and the list of Class 4 and/or cabin roads not maintained.,Transportation and Works,5.00,0.00,2013-04-23,all disclosed,247324,75,
193,ocd-division/country:ca/province:nl,TW/5/2013,,5,"Details regarding the contracts for the new Corner Brook hospital. Details of the contracts that have been awarded to Hatch Mott MacDonald, Stantec and any other companies associated with the planning, development and construction of the new hospital. Details of each contract awarded should include the state date, end date, total amount of the contract and the scope of work.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,11515720,3,
602,ocd-division/country:ca/province:nl,TW/6/2013,,6,"Details regarding the funding for the redevelopment of the junior high school in Corner Brook, including details of the contracts that have been awarded for this redevelopment and the budget associated with the project. For each awarded contract, this includes the start date, end date, total amount of the contract and the scope of work.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,112268,1,
601,ocd-division/country:ca/province:nl,TW/7/2013,,7,"Details regarding $12 million investment announced for the new west end high school in St. John's. Details of the contracts that have been awarded to any companies associated with the planning, development and construction of the new school. For each awarded contract, this includes the start date, end date, total amount of the contract and the scope of work.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,2793569,1,
506,ocd-division/country:ca/province:nl,TW/8/2013,,8,"A list of roads that changed designation to or from Class 4 and/or cabin roads from January 1, 2004 to present. This includes date of change and new/previous designation.",Transportation and Works,5.00,0.00,2013-04-23,all disclosed,2729500,1,
616,ocd-division/country:ca/province:nl,WP/1/2013,,1,"A copy of the evaluation of the 2006-12 violence prevention action plan, which was conducted in consultations with Violence Prevention Initiative partners, stakeholders and the general public.",Women's Policy Office,5.00,0.00,2013-04-23,nothing disclosed,335031,2,
109,ocd-division/country:ca/province:nl,AES/10/2013,,10,The 2011/12 and 2012/13 statistics provided to the federal government on indicators as outlined in Annex 4 of the Labour Market Development Agreement related to Employment Insurance.,Advanced Education and Skills,5.00,0.00,2013-04-24,nothing disclosed,292289,2,
503,ocd-division/country:ca/province:nl,AES/8/2013,,8,"A list of positions dedicated to the Poverty Reduction Strategy at June 30, 2006; June 30, 2007; June 30, 2008; and, February 15, 2013. 

Details for staff complement at February 15, 2013. ",Advanced Education and Skills,5.00,0.00,2013-04-24,all disclosed,328061,3,
405,ocd-division/country:ca/province:nl,AES/11/2013,,11,A copy of the 2013-14 plan submitted by the Department of Advanced Education and Skills to the federal government as outlined in Article 3.2 of the Labour Market Development Agreement.,Advanced Education and Skills,5.00,0.00,2013-04-25,nothing disclosed,171745,2,
333,ocd-division/country:ca/province:nl,AES/9/2013,,9,"Copies of all emails, letters, memos written to or from the Department of Advanced Education and Skills, Executive Council or the Premier’s Office between December 16, 2012 and January 18, 2013 regarding the appointment of Ross Reid to Deputy Minister, Responsible for the Population Growth Strategy.",Advanced Education and Skills,5.00,0.00,2013-04-25,all disclosed,1097402,7,
18,ocd-division/country:ca/province:nl,HCS/8/2013,,8,"The financial statements and all that came with the annual reports submitted by Iris Kirby House including the yearly records of their expenditures and revenue for 2000, 2001, 2002, 2003, 2004, 2005 and 2006.",Health and Community Services,5.00,0.00,2013-04-25,nothing disclosed,381328,2,
19,ocd-division/country:ca/province:nl,FA/7/2013,,7,"The full detailed cost of the Jan 2012 report by McDowell Group (Anchorage) entitled ""Market for Newfoundland and Labrador Yellowtail and Red Fish"".",Fisheries and Aquaculture,5.00,0.00,2013-04-26,all disclosed,255385,1,
263,ocd-division/country:ca/province:nl,TW/16/2013,,16,"Budgeted and actual costs, tenders, etc. of planned renovations, moving of offices (including move to Argyle building) and number of staff moved for Confederation Building, East Block renovations.",Transportation and Works,5.00,0.00,2013-04-26,all disclosed,225054,2,
195,ocd-division/country:ca/province:nl,TW/19/2013,,19,"Documentation outlining the nature, extent and cost of the renovations to the Premier's Office and associated facilities.",Transportation and Works,5.00,0.00,2013-04-26,all disclosed,237238,2,
502,ocd-division/country:ca/province:nl,NR/9/2013,,9,A list of municipalities and other organizations in the province using has chambers to euthanize animals.,Natural Resources,5.00,0.00,2013-04-30,nothing disclosed,1239005,2,
296,ocd-division/country:ca/province:nl,ENV/5/2013,,5,"Letter written by Robert C. Dicks to [individual] at Portugal Cove dated February 18, 2011.",Environment and Conservation,5.00,0.00,2013-05-06,nothing disclosed,1084082,2,
102,ocd-division/country:ca/province:nl,FIN/7/2013,,7,"Request the following from April 2012 to present date: 
The number of ATIPP requests received by the Department of Finance 
Copies of all Form 1s for each individual request 
",Finance,5.00,0.00,2013-05-06,disclosed in part,11779994,26,
105,ocd-division/country:ca/province:nl,JUS/6/2013,,6,Statistical data relating to the race/ethnicity of the provincial offender population.,Justice,5.00,0.00,2013-05-06,all disclosed,2914410,3,
645,ocd-division/country:ca/province:nl,NR/16/2012,,16,"Any and all documents, information and amounts pertaining to government’s investment into [individual] and his companies/projects.",Natural Resources,5.00,0.00,2013-05-06,all disclosed,208453,2,
260,ocd-division/country:ca/province:nl,CYFS/1/2013,,1,"Briefing notes, information notes, etc. compiled/updated on or after October 1, 2012 to present, excluding draft copies.","Child, Youth and Family Services",5.00,0.00,2013-05-07,disclosed in part,6257650,36,
26,ocd-division/country:ca/province:nl,HCS/7/2013,,7,"The Minister’s briefing book includes a note entitled “Long-Term Care and Community Support Services (LTC CSS) Strategy Update” dated February 8, 2013. Therein, it states: “Since 2006, the Provincial Government has invested over $380 million, which includes $241 million in new and existing long term care facilities.” Please provide a breakdown of that $241 million, detailing which facilities received funding, how much each facility received, for what, and which companies were awarded these contracts. Please also list all new long term care facilities underway with estimated total costs by project and timelines.",Health and Community Services,5.00,0.00,2013-05-08,all disclosed,15699011,7,
148,ocd-division/country:ca/province:nl,SNL/9/2013,,9,"Copies of any health inspection reports or inspector’s notes for the restaurant/dining hall at Battle Harbour since January 1, 2008.",Service NL,5.00,0.00,2013-05-10,nothing disclosed,118076,2,
375,ocd-division/country:ca/province:nl,FA/9/2013,,9,"A breakdown (by category and year) of the $800,000 that was spent by your department on defending the sealing industry since 2006.",Fisheries and Aquaculture,5.00,0.00,2013-05-13,all disclosed,898221,3,
221,ocd-division/country:ca/province:nl,FIN/12/2013,,12,"Any and all documents including reports, correspondence, policy papers or studies on implementing junk food tax (sometimes called a sugar tax or fat tax) in Newfoundland and Labrador.",Finance,5.00,0.00,2013-05-13,disclosed in part,6207708,11,
241,ocd-division/country:ca/province:nl,IBRD/3/2013,,3,"Any briefing notes, information notes, etc. compiled/updated on the Immigrant Investor Fund since January 2010.","Innovation, Business and Rural Development",5.00,0.00,2013-05-13,disclosed in part,516461,14,
212,ocd-division/country:ca/province:nl,NR/7/2013,,7,"For the timeframe 1990 to September 1, 2012. All records relating to disclosure, borrowing and/or copies being made of GSI seismic information, including any items that contain that seismic information, and reports, including but not limited to, correspondence, transmittals, copy requests, emails, and agreements relating to: Nalcor Energy, Newfoundland and Labrador Hydro, Hydro, and entities containing any portion of these names.",Natural Resources,5.00,0.00,2013-05-13,nothing disclosed,707071,3,
261,ocd-division/country:ca/province:nl,SNL/7/2013,,7,"Briefing notes, information notes, etc. compiled/updated on or after October 1, 2012 to present.",Service NL,5.00,0.00,2013-05-13,disclosed in part,3162100,18,
374,ocd-division/country:ca/province:nl,EC/5/2013,,5,"Any documents relating to the following amendments made under sections 8 and 9 of An Act to Amend the Workers’ Compensation Act, S.N. 1992, c.29:
(a) The addition of section 44.1 of the Workplace Health, Safety and Compensation Commission Act, RSNL 1990, c. W-11 (the “WHSC Act”); and 
(b) The substitution of section 45 of the WHSC Act. 
 Any documents relating to the following amendment made under section 7 of An Act to Amend the Workers’ Compensation Act, S.N. 1994, c/ 12:
(a) The addition of section 44.1(2) of the WHSC Act. ",Executive Council,5.00,0.00,2013-05-15,disclosed in part,845641,39,
373,ocd-division/country:ca/province:nl,IAAS/2/2013,,2,"All documents related to requests by CBC News and/or CBC Television and/or the Fifth Estate for permission to obtain hospital-specific data from the Canadian Institute for Health Information (CIHI). 
All documents related to requests by CBC News and/or CBC Television and/or the Fifth Estate to hospitals to complete CBC’s hospital survey as part of the project entitled “Vital Signs: Inside Canada’s Hospitals.” 
All documents related to requests by CBC News and/or CBC Television and/or the Fifth Estate to produce an internet-based resource that rates hospitals. ",Intergovernmental and Aboriginal Affairs Secretariat,5.00,0.00,2013-05-17,disclosed in part,183646,6,
329,ocd-division/country:ca/province:nl,FA/10/2013,,10,Confirm whether there are any field trials in the use of any type of vaccinations in finfish farms in the province.,Fisheries and Aquaculture,5.00,0.00,2013-05-21,nothing disclosed,1637413,3,
290,ocd-division/country:ca/province:nl,FA/12/2013,,12,"Is the value of offshore shrimp (industrial/large/medium) included in the value of the Newfoundland and Labrador fishery ($1.0 billion), as reported by Government in Seafood Review 2012? If so, what is the value of this offshore shrimp?",Fisheries and Aquaculture,5.00,0.00,2013-05-21,all disclosed,790899,1,
