division_id,identifier,position,classification,applicant_type,abstract,decision
ocd-division/country:ca/cd:3530,94055,55,personal,public,Home Child Care file for {name removed} containing interaction between {name removed} and Home Child Care provider.,abandoned
ocd-division/country:ca/cd:3530,94056,56,personal,public,Information regarding {name removed} applications to positions in Water/Wastewater Division. ,disclosed in part
ocd-division/country:ca/cd:3530,94057,57,general,public,History for bites and offences of dog owned by {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94058,58,personal,public,Human Resources Personal File for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,94059,59,personal,public,Supervisor's files for {name removed} in Income Maintenance.,abandoned
ocd-division/country:ca/cd:3530,94060,60,personal,public,Correction of records in harassment investigation file for {name removed}.,correction
ocd-division/country:ca/cd:3530,94061,61,personal,public,Notes from Home Child Care Provider file for {name removed} regarding third party comments about quality of care.,disclosed in part
ocd-division/country:ca/cd:3530,94062,62,personal,public,Referral form to Employment Services from GWA caseworker for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,94063,63,general,public,Water Resource Protection Issues for Mannheim recharge system.,all disclosed
ocd-division/country:ca/cd:3530,94064,64,personal,public,Income Maintenance file for {name removed} and related information.,disclosed in part
ocd-division/country:ca/cd:3530,94065,65,general,public,Competition File 94-360.,disclosed in part
ocd-division/country:ca/cd:3530,94066,66,personal,public,Personal Information for {name removed} in Competition File 94-360.,all disclosed
ocd-division/country:ca/cd:3530,94067,67,personal,public,Correspondence to Income Maintenance caseworker for {name removed} between 91/1/1 and 92/3/30.,all disclosed
ocd-division/country:ca/cd:3530,94068,68,general,public,Postings for competitions {name removed} applied to from March 30/92 to present.,all disclosed
ocd-division/country:ca/cd:3530,95001,1,personal,public,Home Child Care Provider File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,95002,2,general,public,"Receipts for food and beverages submitted by Waterloo Regional Police Service from  June 1 to October 1, 1994.",abandoned
ocd-division/country:ca/cd:3530,95003,3,general,public,"Records of calls to 976 and 1-900 numbers made by the Waterloo Regional Police Service from January 1 to December 31,1994.",abandoned
ocd-division/country:ca/cd:3530,95004,4,general,business,Healthy Environments reports and lab results regarding alleged food poisoning of eight individuals at {location removed}.,disclosed in part
ocd-division/country:ca/cd:3530,95005,5,personal,public,Letter sent by {name removed} to {name removed} which included a reference to requester.,disclosed in part
ocd-division/country:ca/cd:3530,95006,6,general,public,Other applicants' information in Competition File 94-336.,disclosed in part
ocd-division/country:ca/cd:3530,95007,7,personal,public,Personal Information for {name removed} in Competition File 94-336.,all disclosed
ocd-division/country:ca/cd:3530,95008,8,personal,public,"All personal file records for {name removed} put on file since July 15, 1994.",all disclosed
ocd-division/country:ca/cd:3530,95009,9,personal,public,"Notes held by supervisors on {name removed} put on file since July 15, 1994.",disclosed in part
ocd-division/country:ca/cd:3530,95010,10,general,public,"Complaints/violations regarding {location removed}, Cambridge.",nothing disclosed
ocd-division/country:ca/cd:3530,95011,11,personal,public,Deletion of an entry in Home Child Care Provider file narrative for {name removed}.,correction
ocd-division/country:ca/cd:3530,95012,12,personal,public,Human Resources Personal File for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,95013,13,general,public,Investigation records regarding salmonella berta outbreak.,abandoned
ocd-division/country:ca/cd:3530,95014,14,personal,public,{Name removed} personal information in salmonella berta outbreak file.,all disclosed
ocd-division/country:ca/cd:3530,95015,15,general,public,Screening records for Competition File 94-450. ,disclosed in part
ocd-division/country:ca/cd:3530,95016,16,personal,public,Screening records for {name removed} in Competition File 94-450.,all disclosed
ocd-division/country:ca/cd:3530,95017,17,general,public,"Plans, diagrams, and related information regarding signage related to {name removed} motor vehicle accident.",disclosed in part
ocd-division/country:ca/cd:3530,95018,18,general,public,Competition File for Senior Clerk Joblink Position.,abandoned
ocd-division/country:ca/cd:3530,95019,19,personal,public,{Name removed} personal information from Competition File for Senior Clerk Joblink Position.,abandoned
ocd-division/country:ca/cd:3530,95020,20,general,public,Competition file for Senior Clerk Joblink Position.,disclosed in part
ocd-division/country:ca/cd:3530,95021,21,personal,public,{Name removed} personal information from Competition File for Senior Clerk Joblink Position.,all disclosed
ocd-division/country:ca/cd:3530,95022,22,general,business,Quotation file Q95-1129 including bidders and prices for heavy equipment rental.,disclosed in part
ocd-division/country:ca/cd:3530,95023,23,personal,public,Letters sent to Caseworker from April 1994 to March 1995.,all disclosed
ocd-division/country:ca/cd:3530,95024,24,general,public,Screening criteria and marks for 55 job competitions identified by {name removed}.,abandoned
ocd-division/country:ca/cd:3530,95025,25,personal,public,Letter about {name removed} sent by {name removed} to Income Maintenance Caseworker.,nothing disclosed
ocd-division/country:ca/cd:3530,95026,26,general,public,Information regarding successful and other candidates in Competition 94-460.,disclosed in part
ocd-division/country:ca/cd:3530,95027,27,personal,public,Personal information for {name removed} in Competition 94-460.,all disclosed
ocd-division/country:ca/cd:3530,95028,28,general,public,Interview scores and results regarding interview process for Competition 95-057.,disclosed in part
ocd-division/country:ca/cd:3530,95029,29,personal,public,Personal information for {name removed} in Competition 95-057.,all disclosed
ocd-division/country:ca/cd:3530,95030,30,personal,public,"Home Care client chart for {name removed} from September 26, 1975 to October 17, 1975.",all disclosed
ocd-division/country:ca/cd:3530,95031,31,personal,public,Request to attach statement of disagreement to job reference.,
ocd-division/country:ca/cd:3530,95032,32,general,public,Investigation report for glass contaminated pizza and lab analysis results of pizza.,disclosed in part
ocd-division/country:ca/cd:3530,95033,33,general,business,"Environmental information regarding CN rail spur on {location removed}, Elmira.",abandoned
ocd-division/country:ca/cd:3530,95034,34,personal,public,A complete copy of Income Maintenance client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,95035,35,general,business,Information held by the Public Health Department regarding water quality on CN Spur in Elmira.,abandoned
ocd-division/country:ca/cd:3530,95036,36,personal,public,A complete copy of FBA client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,95037,37,general,business,Phase I environmental site assessment on three sites in Cambridge and one in Waterloo.,nothing disclosed
ocd-division/country:ca/cd:3530,95038,38,personal,public,Information regarding the Region's position that {name removed} has poor interpersonal skills.,nothing disclosed
