division_id,identifier,position,abstract,organization,classification,applicant_type,date_accepted,application_fee,processing_fee,waived_fees,unpaid_fees,date,decision
ocd-division/country:ca/csd:3553005,FOI2015-50,50,"All documents, emails, correspondence and files related to an employee, for the period from 2011 to 2014, that would have been forwarded to the Human Resources department. I would like access to any emails between the Mayors Chief of Staff and the mayor, which pertain to that employee. I would also like a list of the employees who worked in the mayors office between 2010-2014. ","HR, IT, Mayors Office",general,media,2015-03-16,5.00,10.20,,,2015-03-30,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-40,40,"Copy any records, notes, complaints, responses or any other information pertaining to a specified property from March 1, 2008 forward.","By-Law, Housing",general,public,2015-03-06,5.00,25.10,,,2015-03-31,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-37,37,Copy of any protocol agreement or understanding between EMS and any police agencies whereby members of your agency will advise/ instruct/ suggest/ compel individuals involved in accidents to await the arrival of the police. ,EMS/Fire,general,public,2015-03-05,5.00,10.80,,,2015-04-01,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-59,59,Employee File,HR,personal,public,2015-03-31,5.00,,,,2015-04-01,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-43,43,"All documents, reports and records pertaining to an identifiable individual and the missing Sudbury transit money. All relevant documents pertaining to disciplinary action in the aftermath, including names of person(s) who may have been disciplined, as well as how they were disciplined.  Access to the forensic audit that was completed in relation to this topic. ",,general,media,2015-03-06,5.00,193.80,,,2015-04-06,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-36,36,"Affidavits for 2 specified employees dated April 4, 2010.",Building Services,general,public,2015-03-04,5.00,,,,2015-04-07,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-38,38,"Documents relating to flood event and possible solutions to flooding in Flour Mill neighbourhood. Time frame: July 26, 2009 to Sept. 1, 2009 ; Jan. 10, 2011 to Mar. 10, 2011, and Feb. 1, 2015 to April 1, 2015. Should include communications by Drainage Engineer, CAO, past and present GM of Infrastructure Services.","CAO, Drainage, Engineering, Water/Wastewater",general,media,2015-03-06,5.00,50.50,,,2015-04-07,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-62,62,Complete copy of an individuals file with the Greater Sudbury Housing Corporation. ,Transferred to Greater Sudbury Housing Corporation,personal,public,2015-04-07,5.00,,,,2015-04-08,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-64,64,"Details related to the $15,912.89 spent by a mayoral campaign on phone and Internet expenses during the 2014 municipal election campaign, as reported in the expenses section of his financial statement. Information on which company or companies received the money, details on what the money was spent on and the time period over which it was disbursed. ",,general,media,2015-04-08,5.00,,,,2015-04-09,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-45,45,Ontario Works File,Ontario Works,personal,public,2015-03-10,5.00,11.60,,,2015-04-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-48,48,House plans (construction drawings) for a specified  property.,Building Services,general,public,2015-03-13,5.00,118.00,,,2015-04-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-52,52,(1) Maintenance service guidelines (2) Engineering reports regarding all and any work performed on sanitary sewer line on St. Michel Street (3) Any and all correspondence from any City employee & agent regarding the sanitary sewer backup and any work performed  (4) information on what caused this blockage (5) Records from all employees regarding this backup  (6) Records between the City and the adjuster regarding the sewer backup ,,general,public,2015-03-25,5.00,102.10,,,2015-04-14,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-46,46,Ontario Works File,Ontario Works,personal,public,2015-03-10,5.00,,,,2015-04-16,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-47,47,Fire inspection report at a specified property for 2005.,Fire Services,general,public,2015-03-13,5.00,7.70,,,2015-04-16,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-55,55,Requesting a video off a City transit bus resulting from an impact. ,POA,general,public,2015-03-27,5.00,,,25.00,2015-04-16,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-54,54,"All copies of files from Sudbury Registry 
and Sudbury Housing.  Copies of all correspondence that stated the condition of a specified individual or any personal information and whos authorization was signed.",Housing,personal,public,2015-04-07,5.00,19.20,,,2015-04-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-56,56,Copy of an existing retro-fit certificate for a specified property in 1999 by the previous owner. ,Fire,general,public,2015-03-27,5.00,7.70,,,2015-04-20,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-57,57,"Records pertaining to a specified property from 2005 to present. Also records pertaining to two neighboring properties. Specifically: (1) Any notices to leave taps running during the winter months. (2) Copy of water billing structure that uses a flat rate during winter months (3) Records showing the property had had issues with frozen pipes  (4) Records showing pipes have frozen at the specified property three years in a row, and if so, which years. From 2005 to present.",Water/Wastewater,general,public,2015-03-30,5.00,22.90,,,2015-04-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-60,60,I request a copy of the sewer service box tie-in cord or as built plans for a specified property.,Water/Wastewater,general,public,2015-03-31,5.00,15.70,,,2015-04-27,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-68,68,Requesting a copy of the surveillance video from Pioneer Manor on a specified date. ,Corporate Security,general,public,2015-04-14,5.00,25.00,,,2015-04-27,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-69,69,"All information by a By-law Enforcement Officer before, during and after their visit to a specified property and after if there were other visits; their other visits. Include all information/communication by or for a by-law enforcement officer  with their superiors, colleagues, other departments, the City lawyers, and with the complainants among others; can you also find other times that the By-law officer has visited the specified property, especially, who urged them to come.","By-law, Legal, Mayors office",general,public,2015-04-15,5.00,,,,2015-04-27,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-32,32,"All Records relevant to the City of Greater Sudburys involvement in the EMS-TIF Working Group regarding the simultaneous notification pilot project offered to the City of Greater Sudbury in March of 2013. This request includes any and all records surrounding the Greater Sudbury Fire Service and EMS services communications surrounding the simultaneous notification (EMS-TIF) project including all personal notes and electronic mail from CAO, Director of HR&OD, Chief of Fire and Paramedic Services, Executive Deputy Chief, the two Deputies, Fire Chief, and Deputy Chief. ","CAO, Fire, HR , EMS",general,public,2015-02-26,5.00,163.30,,,2015-04-29,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-41,41,"I am requesting all documents, letters, notes, complaints, in their entirety pertaining to a specified property since 2003 from all departments including but not limited to 311 department and By-law office. ","311, By-law",general,public,2015-03-02,5.00,,,57.40,2015-04-29,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-61,61,Property or any Property adjacent has ever been used for the purpose of a waste disposal site and whether there are any other known environmental hazards which would affect the current use of a specified property. ,"Building Services, Solid Waste",general,public,2015-03-31,5.00,,,,2015-04-30,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-66,66,Building permits for a specified property and/or any open/active building records in relation to this property.,Building Services,general,public,2015-04-10,5.00,54.10,,,2015-05-01,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-70,70,How many mobile sign permits were issued in 2014?  How many were 6 month permits?  How many were 12 month permits?  How many were issued to sign companies and how many to private businesses? ,By-law,general,public,2015-04-17,5.00,20.20,,,2015-05-04,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-63,63,Ontario Works File,Ontario Works,personal,public,2015-04-07,5.00,58.20,,,2015-05-06,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-71,71,"List of all monetary settlements to civil lawsuits against the City between January 1, 2010 and December 31, 2014. Should include both court awarded and out of court settlements. List should also include case number and /or name of plaintiff. ","Legal, Risk",general,media,2015-04-20,5.00,,,,2015-05-06,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-77,77,Property tax assessment information from 2011 and 2012 for a specified property.,Tax,general,public,2015-04-30,5.00,5.40,,,2015-05-07,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-19,19,City water main burst causing backup. Please provide copy of maintenance and service reports.  ,Water/Wastewater,general,public,2015-02-06,5.00,16.60,,,2015-05-08,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-49,49,All information pertaining to a planning file.,Planning ,general,public,2015-03-16,5.00,166.00,,,2015-05-22,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-30,30,"All of information from complaints from a specified property for the last 5 years - Emails, phone calls, pictures, reports and visit reports.  By-law and Health Unit and Building Control and other departments including Police. ","By-law, Building Services, 311 ",general,public,2015-02-25,5.00,45.80,,,2015-05-25,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-67,67,Ontario Works File,Ontario Works,personal,public,2015-04-13,5.00,106.00,,,2015-05-27,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-74,74,"Number of Dog Tags issued in each calendar year 2012, 2013, 2014 & 2015.                                  Amount of impound fees collected and number of Animal Control infractions with and without leading to fines under the Parts identified and in each calendar year 2012, 2013, 2014 & 2015.",By-Law,general,public,2015-04-28,5.00,46.00,,,2015-05-28,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-78,78,"Documentation regarding vehicle owned by an identifiable individual, specifically receipts for payment on a specified date in the amount of $343.20 and $686.40",By-Law,general,public,2015-05-01,5.00,,,,2015-05-28,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-82,82,"All records relating to deck a specified property that was certified last June - permit, drawings, cert.",Building Services ,general,public,2015-05-07,5.00,,,19.60,2015-06-01,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-81,81,"Records of the number of water pipes (frozen) breaking and the depths for the months of November, December, January, February and March for the years 2008, 2009, 2010, 2011, 2012, 2013, 2014 and 2015.  ",Water/Wastewater,general,public,2015-05-06,5.00,,,7.70,2015-06-04,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-84,84,Copy of plan or footprint of square footage calculation for a specified property.,Building Services,general,public,2015-05-12,5.00,63.80,,,2015-06-05,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-95,95,"All documents, emails, correspondence and files related to a certain employee, for the year 2014, that were forwarded to the human resources department.",N/A,general,media,2015-05-28,5.00,,,,2015-06-05,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-73,73,Ontario Works File,Ontario Works,personal,public,2015-05-13,5.00,8.40,,,2015-06-08,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-85,85,Survey for a specified building.,Building Services,general,public,2015-05-12,5.00,,,,2015-06-08,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-86,86,Copies of any and all information with respect to call placed and fire department dispatch on a specified date at a specified time ,Fire Services,general,public,2015-05-13,5.00,4.70,,,2015-06-08,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-87,87,Copies of a By-law Enforcement Officers written reports on the roof repair work and electrical repair work that was done at a specified property.,By-Law,general,public,2015-05-13,5.00,33.80,,,2015-06-08,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-89,89,Copy of Fire Incident Report,Fire Services,general,public,2015-05-21,5.00,19.70,,,2015-06-09,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-76,76,"Keast Drive Proposal 
1. Environmental Impact Study 
2. Traffic Study 
3. Soil Study 
4. Geotechnical Study",Planning ,general,public,2015-04-30,5.00,,,,2015-06-11,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-79,79,"A statement for the property tax account for a specified property from the date of death of the individual to the current date. Also any particulars for any payments received since the date of death, including the payer/source of such payments. ",Tax,general,public,2015-05-01,5.00,15.40,,,2015-06-22,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-90,90,(1) Complaint to City from a specified individual for sauna located at a specified property.  (2) Permit to replace sauna and erect wood shed at the specified address.  (3) Permit issued to the address to close road and dig trench for water line and etc. (2007-2008?),"311, Building Services, By-Law, Engineering",general,public,2015-05-20,5.00,40.50,,,2015-06-22,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-91,91,Fire reports for a specified property.,Fire Services,general,public,2015-05-22,5.00,16.20,,,2015-06-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-100,100,"Copy of House Plans, Building Permits, City sign-offs on Building Permits, Inspections and sign-offs for a specified address",Building Services,personal,public,2015-06-03,5.00,29.80,,,2015-06-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-92,92,"(1) Copies of all rental or lease agreements entered into by the City for use of the parking lot located off Energy Court; (2) A summary of the number of monthly parking passes sold by month since construction of the lot until the present time; (3) the total amount of revenue, broken down by use that the City  received for all uses of the parking lot; (4) A summary of the costs per year to adapt the use of the lot for rental or lease agreements; (5) Copies of the current costs of hydro, snow plowing and maintenance","By-Law, Finance, 311",general,public,2015-05-26,5.00,120.40,,,2015-06-23,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-94,94,Any existing drawings for the building & site for the property for a specified property,Building Services,general,public,2015-05-27,5.00,79.40,,,2015-06-23,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-97,97,"Snow removal logs and records from March 15, 2015 through to and including March 30, 2015 for MR 35 (Elm Street) between Sudbury and Azilda",Roads,general,public,2015-05-29,5.00,,,77.00,2015-06-23,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-98,98,Survey of a property and house at a specified address,Building Services,general,public,2015-06-01,5.00,,,10.40,2015-06-23,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-96,96,(1) The identities of the members of the Board of Directors of a daycare; (2)  Employees of a day care; (3) Details of any complaints made by anyone against a Daycare and any remedies administered; (4) academic requirements and qualifications for all the Daycare employees and the licensing stipulations with respect to the ages of children permitted to attend; (5) Any infractions of the Daycare from part 4 of the request; (6) Details of the procedure(s) and/or policies in place to determine the current ages of children seeking admission; (7) Any feigned or fabricated qualifications of any of the Daycare employees; (8) Details of any financial impropriety found or uncovered; (9) A copy of the Licence granted to the Daycare,Housing,general,public,2015-05-29,5.00,,,46.70,2015-06-29,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-80,80,"Regarding a specified lot (1) Past and/or present activities carried out including the activities of two specified corporations and held by the City of Sudbury; (2) Copies of any available information on the quantity, quality or concentration of contaminants that are emitted, issued or discharged in respect of this Lot; (3) All permits, authorizations, certificates or authorization, rehabilitation plans, reports, studies, analyses, notices of non-compliance, administrative sanctions, notices or statements of offence and complaints with respect to this Lot and/or sent to the two Corporations, and held by the City of Sudbury.","Building Services, By-Law, Developmental Engineering, Engineering, Environmental Services",general,public,2015-05-04,5.00,,,543.00,2015-07-03,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-103,103,Property boundaries map and owners surrounding a specified Lot.,Planning ,personal,public,2015-06-10,5.00,16.40,,,2015-07-09,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-104,104,"Records of all employee discipline a the City of Greater Sudbury including but not limited to suspension and termination, showing number and type of discipline, reason for discipline as well, by department, but excluding identifiable information for the calendar years 2013 and 2014.",,general,media,2015-06-10,5.00,,,,2015-07-10,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-105,105,"Records showing grievances by City of Greater Sudbury employees for 2013 and 2014 by department and showing outcome of the grievance procedure in each case.  Should also include general nature of the grievance, but exclude all personal information.",Legal/Risk,general,media,2015-06-10,5.00,,,,2015-07-10,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-131,131,"List of all monetary settlements to civil lawsuits against the City between January 1, 2010 and December 31, 2014. Should include both court awarded and out of court settlements. Should exclude all personal and private information not normally disclosed in public court documents, but include file numbers of all cases.","Legal, Risk",general,media,2015-06-16,5.00,,,,2015-07-10,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-189,189,Two police reports from specified dates.  ,Transferred to Police Services,general,public,2015-10-02,5.00,,,,2015-07-10,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-102,102,"Regarding a specified address: Any landfills within 1km, any storm or sanitary (septic) sewer issues on the property, any other municipal records or complaints/concerns related to potential environmental issues at the site or surrounding areas.","Environmental Services/Solid Waste, Environmental Services, Engineering, Drainage",personal,public,2015-06-08,5.00,,,,2015-07-13,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-108,108,"A complete chronological list of all direct and indirect access by a specified employee, has accessed our files, personal information, for any reason, in every form, in every departmental form for both personal and professional reasons from 2004-present.  I am seeking dates, times, reasons, number of occurrences.","IT, Citizen Service Centre",general,public,2015-05-27,5.00,,,,2015-07-14,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-109,109,Building permit and associated documents for a specified address.,Building Services,general,public,2015-06-16,5.00,29.50,,,2015-07-14,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-111,111,Building Records and Inspectors notes related to Building Permit for the construction of a front addition at a specified address.  ,Building Services,general,,2015-06-17,5.00,,,24.50,2015-07-16,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-107,107,"Structural/Architectural Drawings for a specified address Built in 2008 - ""Looking for the load bearing of the house.""",Building Services,general,public,2015-06-16,5.00,55.60,,,2015-07-17,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-110,110,Copy of the entire Building Services file for a specified address.,Building Services,general,public,2015-06-17,5.00,364.60,,,2015-07-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-113,113,Retro-fit for a specified address.,Fire Services,general,public,2015-06-22,5.00,20.60,,,2015-07-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-114,114,Request for release of noise complaints for tenant for a specified unit against tenant from a specified unit for a specified address.,By-Law,general,public,2015-06-22,5.00,,,10.40,2015-07-17,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-116,116,Request for any records regarding housing standards for a specified address.,"Building Services, By-Law",general,public,2015-06-23,5.00,16.70,,,2015-07-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-99,99,Ontario Works file,Ontario Works,personal,public,2015-06-01,5.00,14.40,,,2015-07-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-112,112,"Any files, documentation, emails, internal memos, log books, etc. related to named individuals and/or a specified address from January 1, 2014 to present.","Planning, Building Services, Finance, Mayors Office",general,public,2015-06-19,5.00,160.00,,,2015-07-20,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-115,115,"Documents relating to building and modification of double detached garage at a specified address (Building permit, design drawings, inspection report, special reports).",Building Services,general,public,2015-06-22,5.00,24.50,,,2015-07-21,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-117,117,Request for any records regarding a specified address re: fire and order (2013-present).,Fire Services,general,public,2015-06-23,5.00,50.20,,,2015-07-21,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-118,118,Architectural/Building plans for the house at a specified address;  Anything relating to the foundation or deck; Any information or plans relating water intake from the lake or water system. ,Building Services,general,public,2015-06-24,5.00,55.00,,,2015-07-21,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-120,120,Looking for complaint of any patch work to a specified Street or asphalt put on road paid by tax payers or paid by a specified property owner between 2006-2010 or complaint for grass destroyed.,By-Law,general,public,2015-06-25,5.00,,,196.30,2015-07-21,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-121,121,"All Information in regards to permits such as, Building, Electrical, plumbing, demolition, interior/ exterior work, insulation regards to a property.",Building ,general,public,2015-06-25,5.00,68.20,,,2015-07-21,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-122,122,"Any and All reports pertaining to a property and Buchannan Street dealing with possible leaks in storm sewer, water lines and sewer system since June 4, 2015. ","Water/Wastewater, Drainage",general,public,2015-06-26,5.00,15.40,,,2015-07-21,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-119,119,Building Code violation complaint regarding a specified address.,"Building Services, By-Law",general,public,2015-06-24,5.00,8.10,,,2015-07-22,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-123,123,"A copy of all air quality test results that were performed at the Fleet Services Building located at 1160 Lorne Street, Sudbury between Sept. 1, 2014 and June 29, 2015.","Fleet, Building Maintenance",general,public,2015-06-30,5.00,67.90,,,2015-07-22,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-124,124,Ontario Works File.,Ontario Works,personal,public,2015-06-30,5.00,12.80,,,2015-07-22,disclosed in part
