division_id,position,organization,classification,applicant_type,date,decision
ocd-division/country:ca/csd:3524002,27,Roads and Parks Maintenance,general,public,2012,abandoned
ocd-division/country:ca/csd:3524002,28,Various,personal,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,29,Planning Building Engineering,general,business,2012,abandoned
ocd-division/country:ca/csd:3524002,30,Procurement ,general,public,2012,abandoned
ocd-division/country:ca/csd:3524002,31,Planning Building Engineering,general,business,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,32,Building,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,33,Planning Building Engineering,general,business,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,34,Fire,general,business,2012,all disclosed
ocd-division/country:ca/csd:3524002,35,Procurement ,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,36,Roads and Parks Maintenance,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,37,Animal Control,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,38,Animal Control,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,39,Building,general,business,2012,disclosed in part
ocd-division/country:ca/csd:3524002,40,Building,general,business,2012,all disclosed
ocd-division/country:ca/csd:3524002,41,Halton Region,general,business,2012,abandoned
ocd-division/country:ca/csd:3524002,42,Clerks,general,public,2012,abandoned
ocd-division/country:ca/csd:3524002,43,By-law enforcement,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,44,Halton Region,general,business,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,45,Clerks - Council,general,public,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,1,AMANDA - Planning and Building,general,business,2013,all disclosed
ocd-division/country:ca/csd:3524002,2,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,3,Burlington Fire,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,4,Burlington Fire,general,business,2013,abandoned
ocd-division/country:ca/csd:3524002,5,Animal Control,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,6,Burlington Fire,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,7,"Building, Planning",general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,8,Animal Control,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,9,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,10,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,11,Burlington Fire,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,12,,general,business,2013,all disclosed
ocd-division/country:ca/csd:3524002,13,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,14,Animal Control,general,public,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,15,Animal Control,general,public,2013,abandoned
ocd-division/country:ca/csd:3524002,16,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,17,,general,public,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,18,By-law enforcement,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,19,,general,business,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,20,,general,public,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,21,,general,public,2013,abandoned
ocd-division/country:ca/csd:3524002,22,Procurement ,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,23,Building,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,24,Licensing and Permits,general,public,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,25,Clerks,general,media,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,26,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,27,Engineering,general,public,2013,nothing disclosed
ocd-division/country:ca/csd:3524002,28,Engineering,general,public,2013,abandoned
ocd-division/country:ca/csd:3524002,29,"Transportation, Transit",general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,30,Animal Control,personal,public,2013,abandoned
ocd-division/country:ca/csd:3524002,31,Fire,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,32,"Building, Licensing",general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,33,Fire,general,business,2013,all disclosed
ocd-division/country:ca/csd:3524002,34,"Clerks, HR",personal,public,2013,
ocd-division/country:ca/csd:3524002,35,Burlington Museums,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,36,Roads and Parks Maintenance,general,public,2013,all disclosed
ocd-division/country:ca/csd:3524002,37,Animal Control,general,public,2013,disclosed in part
ocd-division/country:ca/csd:3524002,1,Animal Control,general,public,2014,
ocd-division/country:ca/csd:3524002,2,Animal Control,personal,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,3,"Building, Fire",general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,4,By-law enforcement,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,5,"Building, Licensing",general,public,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,6,Procurement,general,business,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,7,Animal Control,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,8,Planning and Building,general,business,2014,all disclosed
ocd-division/country:ca/csd:3524002,9,Animal Control,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,10,Building,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,11,Building,general,business,2014,abandoned
ocd-division/country:ca/csd:3524002,12,Planning,general,public,2014,
ocd-division/country:ca/csd:3524002,13,Building,general,public,2014,
ocd-division/country:ca/csd:3524002,14,Building,general,public,2014,
ocd-division/country:ca/csd:3524002,15,Building,general,business,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,16,Procurement Services,general,business,2014,disclosed in part
ocd-division/country:ca/csd:3524002,17,"Building, Fire",general,business,2014,all disclosed
ocd-division/country:ca/csd:3524002,18,Transportation,general,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,19,Parks and Recreation,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,20,All,personal,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,21,Finance,general,organization,2014,all disclosed
ocd-division/country:ca/csd:3524002,22,"Finance, Clerks",general,organization,2014,all disclosed
ocd-division/country:ca/csd:3524002,23,Building,general,business,2014,
ocd-division/country:ca/csd:3524002,24,,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,25,Halton Region,,,2014,
ocd-division/country:ca/csd:3524002,26,Building,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,27,Building,general,public,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,28,Transportation,general,public,2014,abandoned
ocd-division/country:ca/csd:3524002,29,Clerks,general,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,30,"Planning and Building, Animal Control",personal,public,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,31,Licensing,general,business,2014,disclosed in part
ocd-division/country:ca/csd:3524002,32,"Engineering, Finance",general,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,33,"Parking, Transportation",general,public,2014,
ocd-division/country:ca/csd:3524002,34,Transit,personal,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,35,Transit,personal,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,36,Parks and Recreation,general,public,2014,nothing disclosed
ocd-division/country:ca/csd:3524002,37,Building,general,public,2014,all disclosed
ocd-division/country:ca/csd:3524002,38,Roads and Parks Maintenance,general,public,2014,disclosed in part
ocd-division/country:ca/csd:3524002,39,Building,general,public,2014,all disclosed
