division_id,identifier,alternate_identifier,position,abstract,organization,applicant_type,processing_fee,date,url,byte_size,number_of_pages,number_of_rows,duration
ocd-division/country:ca/province:bc,FNR-2011-00073,2803729,73,"Applications for construction approval and/or permits for the construction of Berth 2 at the deep sea break bulk terminal at 37500 Third Avenue, Squamish BC and correspondence and documents regarding the same in the custody or control of the Ministry.","Forests, Lands and Natural Resource Operations",business,0.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2803729&title=FOI%20Request%20-%20FNR-2011-00073,5469557,47,0,0
ocd-division/country:ca/province:bc,MOE-2011-00042,2804959,42,"Re Tyson Creek run-of-river project developed by Renewable Power Corp: records relating to environmental concerns regarding the project and environmental incidents that occurred at the IPP.  January 2009 to March 10, 2011.",Environment,organization,225.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2804959&title=FOI%20Request%20-%20MOE-2011-00042,301628288,2032,0,0
ocd-division/country:ca/province:bc,MOE-2011-00043,2805021,43,"copy of file contents related to former Kootenay Forest Products Waste Cell #2 located at the Environmental Management Section Office in Nelson, BC.  The Waste Cell Permit number is PR-2704.",Environment,business,303.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805021&title=FOI%20Request%20-%20MOE-2011-00043,113273181,652,0,0
ocd-division/country:ca/province:bc,MOE-2011-00113,2805403,113,"All historical records pertaining to underground storage tanks, permits/licences, inspections/violations, fill depositions, complaints, environmental incidents and any other environmentally-related issues that occurred at 957 Otter Lake Cross Road in Armstrong, British Columbia.",Environment,business,0.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805403&title=FOI%20Request%20-%20MOE-2011-00113,8793233,60,0,0
ocd-division/country:ca/province:bc,MOE-2011-00115,2803894,115,"All historical records pertaining to underground storage tanks, permits/licenses, inspections/violations, fill depositions, complaints, environmental incidents and any other environmentally-related issues that have occurred at 1925 West Trans Canada Highway in Kamloops BC.",Environment,business,0.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2803894&title=FOI%20Request%20-%20MOE-2011-00115,725692,8,0,0
ocd-division/country:ca/province:bc,PSS-2011-01037,2805087,1037,"A copy of the floor plan currently under review by the Branch for structural alteration with respect to LRS No. 192246 (Ocean Port Hotel), at 37991 2nd Avenue, Squamish.",Public Safety and Solicitor General,business,0.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805087&title=FOI%20Request%20-%20PSS-2011-01037,365100,1,0,0
ocd-division/country:ca/province:bc,PSS-2011-01028,2809027,1028,"A copy of the decision letter that the Liquor Branch would have issued granting the approval for Rogers Arena to be open for a non live event for the hockey games on June 6, 8 and 13, 2011.",Public Safety and Solicitor General,business,0.00,2011-08-03,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809027&title=FOI%20Request%20-%20PSS-2011-01028,171501,2,0,0
ocd-division/country:ca/province:bc,AGT-2011-00138,2809038,138,Any policy directives or other documents setting out the policy of a required 2-week waiting period for probate fees paid by Solicitor's General Cheque.,Attorney General,business,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809038&title=FOI%20Request%20-%20AGT-2011-00138,22675,2,0,0
ocd-division/country:ca/province:bc,FIN-2011-00059,2810441,59,"BC Ferries has been granted permission to raise fares over the next four years.  On April 1, 2011 ferry fares are increasing.  On March 31, 2011 the B.C. Ferry Commissioner approved an annual increase of 4.15 per cent for major routes and 8.23 per cent for minor routes from 2012-2015.  Provide briefing notes, reports, and correspondence of 2011 on this fare issue, e.g. the wisdom and impacts of these fare increases, alternatives, public protests, etc.  Include responses to the columns by Stephen Hume, 'Higher ferry fares discriminate against Island residents' Vancouver Sun, April 09, 2011, and 'After sinking BC Ferries bailed out, high rates reward taxpayers,' Vancouver Sun, April 19, 2011.",Finance,media,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2810441&title=FOI%20Request%20-%20FIN-2011-00059,3691208,32,0,0
ocd-division/country:ca/province:bc,FIN-2011-00061,2810454,61,"Sections of the new Finance Minister's briefing book; 2. Treasury Board Staff: Current Budget Status, Risks to Government's 3-year fiscal plan,  High Level Overview of Government Expenses, Implications of a Fall Election; 3. Competitiveness, Economics and Policy: HST; 8. Office of the Comptroller General: Removing Universities from the Government Reporting Entity; 9. Financial Institutions Commission (FICOM): CEO Bio & Division Responsibilities and Key Deliverables, Recent Human Resourcing Changes.",Finance,media,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2810454&title=FOI%20Request%20-%20FIN-2011-00061,1264456,12,0,0
ocd-division/country:ca/province:bc,FIN-2011-00085,2810633,85,"Records indicating individual or corporation who have made annual payments of Land Tax assessment for any of the years 2008, 2009, 2010, or 2011 for Mineral Lot 4405, Fort Steele Mining Division, Kootenay Land District.",Finance,public,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2810633&title=FOI%20Request%20-%20FIN-2011-00085,469779,4,0,0
ocd-division/country:ca/province:bc,HOU-2011-00020,2805143,20,"A copy of all correspondence received by the ministry between Jan. 1, 2008 and April 1, 2009, from fire departments or fire-safety associations on the provinces proposal to allow six-storey wood-frame buildings.",Energy and Mines,media,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805143&title=FOI%20Request%20-%20HOU-2011-00020,1444458,28,0,0
ocd-division/country:ca/province:bc,OOP-2011-00179,2805266,179,"Any communication to, from, copied to or forwarded to officials in the premiers office since Feb. 26, 2011 regarding smoking cessation.",Office of the Premier,media,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805266&title=FOI%20Request%20-%20OOP-2011-00179,8756877,126,0,0
ocd-division/country:ca/province:bc,OOP-2011-00184,2809339,184,"All records, including e-mails, position papers, and reports related to the June 15th riots in Vancouver immediately following Game 7 of the Stanley Cup.  Date range June 13, 2011 to June 17, 2011.",Office of the Premier,media,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809339&title=FOI%20Request%20-%20OOP-2011-00184,8620781,55,0,0
ocd-division/country:ca/province:bc,PSS-2011-01026,2809045,1026,"Any records relating to the investigation of a fire incident that occurred on November 12, 2008 at 1917 Ash Street, Creston, British Columbia.",Public Safety and Solicitor General,business,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809045&title=FOI%20Request%20-%20PSS-2011-01026,1275290,7,0,0
ocd-division/country:ca/province:bc,TRA-2010-00251,2809013,251,"Records of any and all contracts (including 'service agreements' or 'service contracts') that have been directly awarded by any Ministry, including: records of the ministry's rationale, in these cases, for circumventing a competitive process.  The time frame of this request is January 1, 2010 to September 30, 2010.",Transportation and Infrastructure,organization,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809013&title=FOI%20Request%20-%20TRA-2010-00251,37888,4,0,0
ocd-division/country:ca/province:bc,TRA-2011-00102,2809262,102,"Records with respect to the Provincial Transit Plan dated January 14, 2008, specifically the names of any consultants, consulting firms, or paid or unpaid internal or external advisors that directly participated in the formulation of the Plan. ",Transportation and Infrastructure,organization,0.00,2011-08-04,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2809262&title=FOI%20Request%20-%20TRA-2011-00102,0,0,0,0
ocd-division/country:ca/province:bc,FNR-2011-00062,2812410,62,Records associated with a Notice placed on the Integrated Land and Resource Registry in relation to a tenure search of coal tenure 327280; general information that would provide context as to the nature and size of the area affected by the Notice and whether its existence will impact on mining or other natural resource development in the area.,"Forests, Lands and Natural Resource Operations",business,0.00,2011-08-08,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2812410&title=FOI%20Request%20-%20FNR-2011-00062,599591,3,0,0
ocd-division/country:ca/province:bc,HOU-2011-00006,2812421,6,"All correspondence, including emails, received by Minister Rich Coleman or his deputies since May 1, 2011, on the province's decision to allow six-storey wood-frame buildings.",Energy and Mines,media,0.00,2011-08-09,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2812421&title=FOI%20Request%20-%20HOU-2011-00006,6035419,86,0,0
ocd-division/country:ca/province:bc,TRA-2011-00132,2815178,132,"Relating to ITQCMB-MPS-050911:  Invitation to Quote - Quality Auditor - Highway Maintenance Contracts; Copy of list of names of contractors who submitted quotes, and name(s) of successful contractor(s).",Transportation and Infrastructure,business,0.00,2011-08-09,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2815178&title=FOI%20Request%20-%20TRA-2011-00132,27172,1,0,0
ocd-division/country:ca/province:bc,FIN-2011-00105,2815216,105,"Letter from John McLaughlin to Jeff Garrad on or about  August 27, 2007 re: IAAS (or IAS) Report on VANOC business plan.",Finance,media,0.00,2011-08-10,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2815216&title=FOI%20Request%20-%20FIN-2011-00105,146492,2,0,0
ocd-division/country:ca/province:bc,FNR-2011-00092,2818996,92,"All current referral responses submitted to the Ministry of Forests, Lands and Natural Resource Operations in regards to Selkirk Power Company Limited application entitled Beaver River Hydroelectric Project: File #4404680, #4404679 and #4404678 including but not limited to referral responses from Parks Canada and Ministry of Transportation and Infrastructure, which were submitted May of 2011; All other referrals submitted to the Ministry of Forests, Lands and Natural Resource Operations including but not limited to Transport Canada, Ministry of Tourism, Culture and the Arts, Ministry of Mines, DFO, FLNRO (which includes the former Ministry of Environment and Water Stewardship Divisions), Ktunaxa and Shuswap First Nations, Town of Golden, Columbia Shuswap Regional District, and BC Hydro.","Forests, Lands and Natural Resource Operations",organization,0.00,2011-08-11,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2818996&title=FOI%20Request%20-%20FNR-2011-00092,896568,5,0,0
ocd-division/country:ca/province:bc,MOE-2011-00116,2822402,116,"Relating to 124 Adams Rd. Kelowna BC:  Environmental concerns (General correspondence, occurrence reports, abatement); Investigations/prosecutions; Orders; Spills; Waste Generator number/classes; Air - emissions; Water - mains, treatment, ground level, standpipes & elevated storage, pumping stations (local & booster); Sewage - sanitary, storm, treatment, stormwater, leachate & leachate treatment & sewage pump stations; Waste water - industrial discharges;  Waste sites - disposal, landfill sites, transfer stations, processing sites, incinerator sites; Waste systems - PCB destruction, mobile waste processing units, haulers: sewage, non-hazardous & hazardous waste; Pesticides - licenses.",Environment,business,0.00,2011-08-11,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2822402&title=FOI%20Request%20-%20MOE-2011-00116,748560,12,0,0
ocd-division/country:ca/province:bc,FNR-2011-00060,2823887,60,The results of the limited entry hunting lotteries for 2010.,"Forests, Lands and Natural Resource Operations",public,0.00,2011-08-15,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2823887&title=FOI%20Request%20-%20FNR-2011-00060,1458965,676,0,0
ocd-division/country:ca/province:bc,FNR-2011-00107,2817420,107,FDP for FL A18978 CP 156 - All files outlining or detailing Forest Development Plans to do with license and cutting permit from 1999 to present; information on proposed and approved silviculture prescriptions and any revisions or amendments; AAC claw-backs; details of the surrender of this permit in 2006.,"Forests, Lands and Natural Resource Operations",organization,0.00,2011-08-15,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2817420&title=FOI%20Request%20-%20FNR-2011-00107,19081232,167,0,0
ocd-division/country:ca/province:bc,FNR-2011-00128,2817026,128,"All Preharvest Silviculture Prescriptions (PHSPs) and Site Plans (SPs) for the following openings: 93MO24-061, 93MO45-041, 93MO45-042, 93MO45-043 including maps for all openings, latest survey report and maps, and any amendments made to the PHSPs and SPs.","Forests, Lands and Natural Resource Operations",public,0.00,2011-08-15,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2817026&title=FOI%20Request%20-%20FNR-2011-00128,17422134,132,0,0
ocd-division/country:ca/province:bc,HOU-2011-00026,2825303,26,"Any reports produced by or for the ministry since Jan. 1, 2008 on the fire-safety implications of allowing six-storey wood-frame buildings in BC, and a copy of all research projects (from ministry website www.housing.gov.bc.ca/building/wood_frame/qanda.htm#1-2) produced by or for the ministry since Jan. 1, 2008 on the proposal to allow six-storey wood-frame buildings in BC.",Energy and Mines,media,0.00,2011-08-15,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825303&title=FOI%20Request%20-%20HOU-2011-00026,40821760,387,0,0
ocd-division/country:ca/province:bc,EGM-2011-00007,2823661,7,"Copies of permits and amendments to permits issued for the Highland Valley Copper Mine. In  particular, copies of permit M-11 (related to mines 0300010 HVC and 1620452 Highmont) and all amendments made to this permit; Copies of all other permits and amendments to permits issued to the Highland Valley Copper Mine; Copies of all permits and amendments to permits related to the Lornex Mine and the Valley Copper Mine.",Energy and Mines,business,325.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2823661&title=FOI%20Request%20-%20EGM-2011-00007,4430732,78,0,0
ocd-division/country:ca/province:bc,FIN-2011-00104,2799622,104,"A letter, dated on or about March 6, 2008, from Colin Hansen to John Furlong and the response, dated on or about April 21, 2008, regarding the Olympic torch relay going to Washington State.",Finance,media,0.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2799622&title=FOI%20Request%20-%20FIN-2011-00104,317873,2,0,0
ocd-division/country:ca/province:bc,FNR-2011-00101,2822867,101,"Records for Seton Fire K 71263 which started on August 9, 2009, particularly the report section dealing with: The section leading up to and describing the reasons for the decision to start the back-fire and the reasons for the timing of the start; The report on the back-fire itself to the conclusion of the fire, excluding the police report on the start of the fire.","Forests, Lands and Natural Resource Operations",public,0.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2822867&title=FOI%20Request%20-%20FNR-2011-00101,10674558,20,0,0
ocd-division/country:ca/province:bc,FNR-2011-00114,2823696,114,"Complete water licence file for water license C058556. Complete records of official documents, plans, all correspondence and records.","Forests, Lands and Natural Resource Operations",public,0.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2823696&title=FOI%20Request%20-%20FNR-2011-00114,2610048,23,0,0
ocd-division/country:ca/province:bc,FNR-2011-00116,2819271,116,"A copy of Non-Replaceable Forest License A84120 issued under the Forest Act (British Columbia). I understand that the license is issued in the name of Klahoose Forestry Limited Partnership, and that it applies to an area near the Homfray Channel, BC.In addition, I wish to request copies of, and all information that you are able to provide with respect to any cutting permits that have been issued in connection with or pursuant to Forest License A84120.","Forests, Lands and Natural Resource Operations",business,0.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2819271&title=FOI%20Request%20-%20FNR-2011-00116,4694982,51,0,0
ocd-division/country:ca/province:bc,PSS-2011-01036,2825066,1036,"A copy of section 4.5 of the BC Corrections Adult Custody Branch Policy Manual, unvetted. Specifically sections: 4.5.3; 4.5.4 and 4.5.5.",Public Safety and Solicitor General,organization,0.00,2011-08-16,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825066&title=FOI%20Request%20-%20PSS-2011-01036,54203,6,0,0
ocd-division/country:ca/province:bc,CSC-2011-00023,2825078,23,"Copies of any and all records sent from Matt McNeill, representatives of Steamship Marketplace, Bob Wright, representatives of the Oak Bay Marine Group or representatives of the Maritime Museum of British Columbia to Ida Chong or members of her ministerial office; copies of any and all records sent to Matt McNeill, representatives of Steamship Marketplace, Bob Wright, representatives of the Oak Bay Marine Group or representatives of the Maritime Museum of British Columbia by Ida Chong or members of her ministerial office.  Date range from November 2010 to [May 17, 2011].","Community, Sport and Cultural Development",media,0.00,2011-08-17,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825078&title=FOI%20Request%20-%20CSC-2011-00023,3571435,35,0,0
ocd-division/country:ca/province:bc,PSS-2011-00694,2822393,694,"Confirmation in writing as to the names of the party or parties holding the liquor license for Cobalt Pub at 917 Main Street in Vancouver on February 10, 2009; records relating to any complaints, investigations, enforcement action, contravention notices or anything else pertaining to the operation of the Cobalt Pub at 917 Main Street in Vancouver, since Northstar became involved in its operation.",Public Safety and Solicitor General,business,0.00,2011-08-17,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2822393&title=FOI%20Request%20-%20PSS-2011-00694,33287802,291,0,0
ocd-division/country:ca/province:bc,AGT-2011-00139,2833697,139,"Any and all records exchanged with the federal government related to the Criminal Code and specifically regarding amendments to make the vulnerability of the victim due to age, notably the elderly, an aggravating factor, and excluding: any personal information that meets the criteria for section 22 of the Act, media monitoring summaries, or any records that have already been released publicly.  Time frame for this request is March 14 to July 4, 2011",Attorney General,organization,0.00,2011-08-18,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2833697&title=FOI%20Request%20-%20AGT-2011-00139,91953,8,0,0
ocd-division/country:ca/province:bc,TRA-2011-00139,2825444,139,"Provide the following information: Copy of the chapter in the Sign Manual dealing with curves and the sharpness of curves and the criteria as to when signs are required;  Accident statistics for the Salmon River Road at or near Campbell Road, Silver Creek area , for the period commencing 2005 to present [June 30, 2011] (being 5 years prior to the motor vehicle accident referred to herein to the present); Signage inventory for the period commencing 2005 (being 5 years prior to the motor vehicle accident referred to herein to the present) and any documents discussing the reason or requirement for the change (that is, were there signs at or near the accident site prior to the accident, and were there signs erected at or near the accident site following the accident, and if there were signs erected post-accident, why were they erected?",Transportation and Infrastructure,business,0.00,2011-08-18,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825444&title=FOI%20Request%20-%20TRA-2011-00139,10952836,46,0,0
ocd-division/country:ca/province:bc,CSC-2011-00027,2825931,27,"The boundary expansion application filed in 2006, with the Ministry, by the Village of Clinton.","Community, Sport and Cultural Development",public,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825931&title=FOI%20Request%20-%20CSC-2011-00027,617752,4,0,0
ocd-division/country:ca/province:bc,FNR-2011-00010,2824952,10,"All correspondence and reports between BCTS Vernon and John Armstrong (forest consultant) in 2010 and 2011 relating to ITSL (Innovative Timber Sales) regarding cruising, cruise compilation, cruise results, and check cruising in the Vernon District office of BCTS; any written instructions given to John Armstrong regarding cruise related issues in the Vernon office","Forests, Lands and Natural Resource Operations",business,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2824952&title=FOI%20Request%20-%20FNR-2011-00010,9966376,69,0,0
ocd-division/country:ca/province:bc,JTI-2011-00040,2829130,40,"All records, including e-mails, position papers, and reports related to the June 15th riots in Vancouver immediately following Game 7 of the Stanley Cup.  Date range June 13, 2011 to June 17, 2011.","Jobs, Tourism and Innovation",media,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2829130&title=FOI%20Request%20-%20JTI-2011-00040,1074078,21,0,0
ocd-division/country:ca/province:bc,LCO-2011-00011,2828142,11,"A copy of the speech made by Minister Cadieux to the Radio-Television News Directors Association convention in May, as well as any and all records of background materials for the Minister's speech, excluding records in any personal information that meets the criteria for section 22 of the Act, media monitoring summaries, nor any records that have already been released publicly. Time frame for this request is March 14 to June 1, 2011.","Labour, Citizens' Services and Open Government",organization,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2828142&title=FOI%20Request%20-%20LCO-2011-00011,3728298,15,0,0
ocd-division/country:ca/province:bc,OOP-2011-00206,2827300,206,"Any and all records related to the development of a model for Non-Profit and Public Partnerships in British Columbia excluding any personal information that meets the criteria for section 22 of the Act, media monitoring summaries, and any records that have already been released publicly. Time frame for this request is March 14 to July 4, 2011.",Office of the Premier,organization,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2827300&title=FOI%20Request%20-%20OOP-2011-00206,502223,3,0,0
ocd-division/country:ca/province:bc,OOP-2011-00208,2825897,208,"Any and all records indicating policy changes that have been made by the Premier's Office to implement the practices of routine release and proactive disclosure, or any other concrete steps taken to implement the Premier's announced Open Government and Open Data initiative.  Time frame for this request is March 14 to June 30, 2011.",Office of the Premier,organization,0.00,2011-08-19,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2825897&title=FOI%20Request%20-%20OOP-2011-00208,130732,1,0,0
