division_id,identifier,position,abstract,classification,date_accepted,date
ocd-division/country:ca/csd:4811061,2012-0078,78,Fire investigation report,general,2012-03-15,2012-04-10
ocd-division/country:ca/csd:4811061,2012-0093,93,Fire investigation report,general,2012-04-03,2012-04-10
ocd-division/country:ca/csd:4811061,2012-0070,70,Operator report file,personal,2012-03-06,2012-04-11
ocd-division/country:ca/csd:4811061,2012-0063-001,63,All records regarding apartment building,general,2012-04-01,2012-04-12
ocd-division/country:ca/csd:4811061,2012-0081,81,Disability management file,general,2012-03-19,2012-04-13
ocd-division/country:ca/csd:4811061,2012-0100,100,Fire investigation report,general,2012-04-16,2012-04-16
ocd-division/country:ca/csd:4811061,2012-0027,27,Tender submission,general,2012-01-25,2012-04-17
ocd-division/country:ca/csd:4811061,2012-0109,109,Emergency Services Report,general,2012-04-16,2012-04-18
ocd-division/country:ca/csd:4811061,2012-0047,47,Review of 2011-G-191,,2012-02-08,2012-04-19
ocd-division/country:ca/csd:4811061,2012-0113,113,List for municipal road repairs for current year,general,2012-04-17,2012-04-19
ocd-division/country:ca/csd:4811061,2012-0114,114,List of overtime to transit drivers in 2011,general,2012-04-17,2012-04-19
ocd-division/country:ca/csd:4811061,2012-0116,116,Records related to the improvement of handling of FOIP requests ,general,2012-04-17,2012-04-19
ocd-division/country:ca/csd:4811061,2012-0115,115,List of vehicles in municipality's vehicle fleet ,general,2012-04-17,2012-04-20
ocd-division/country:ca/csd:4811061,2012-0118,118,Mayor travel records,general,2012-04-17,2012-04-20
ocd-division/country:ca/csd:4811061,2012-0120,120,Correspondence between the Mayor and event promotion firms in 2011,general,2012-04-17,2012-04-20
ocd-division/country:ca/csd:4811061,2012-0108,108,Animal control records,personal,2012-04-16,2012-04-23
ocd-division/country:ca/csd:4811061,2012-0110,110,Fire investigation report,general,2012-04-16,2012-04-24
ocd-division/country:ca/csd:4811061,2012-0119,119,Cell phone costs,general,2012-04-17,2012-04-24
ocd-division/country:ca/csd:4811061,2012-0122,122,Fire investigation report,general,2012-04-23,2012-04-27
ocd-division/country:ca/csd:4811061,2012-0123,123,Fire investigation report,general,2012-04-23,2012-04-27
ocd-division/country:ca/csd:4811061,2012-0227,227,Review of 2012-G-0131 ,,2012-08-13,2012-04-28
ocd-division/country:ca/csd:4811061,2012-0126,126,Patient Care Report,general,2012-04-27,2012-04-30
ocd-division/country:ca/csd:4811061,2012-0117,117,Municipal land transactions during the last year,general,2012-04-17,2012-05-02
ocd-division/country:ca/csd:4811061,2012-0121,121,Animal control records,personal,2012-04-23,2012-05-03
ocd-division/country:ca/csd:4811061,2012-0082,82,Employee file,personal,2012-03-20,2012-05-04
ocd-division/country:ca/csd:4811061,2012-0111,111,Investigation Report,personal,2012-04-17,2012-05-08
ocd-division/country:ca/csd:4811061,2012-0009-002,9,Records related to elephant,general,2012-04-15,2012-05-09
ocd-division/country:ca/csd:4811061,2012-0124,124,Personal Employee records,personal,2012-04-24,2012-05-09
ocd-division/country:ca/csd:4811061,2012-0057,57,Fire investigation report,general,2012-02-23,2012-05-10
ocd-division/country:ca/csd:4811061,2012-0094,94,Fire investigation report,general,2012-04-05,2012-05-10
ocd-division/country:ca/csd:4811061,2012-0097,97,Fire investigation report,general,2012-04-12,2012-05-10
ocd-division/country:ca/csd:4811061,2012-0059,59,Fire investigation report,general,2012-02-23,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0098,98,Fire investigation report,general,2012-04-16,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0099,99,Fire investigation report,general,2012-04-16,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0101,101,Fire investigation report,general,2012-04-16,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0102,102,Fire investigation report,general,2012-04-16,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0103,103,Fire investigation report,general,2012-04-16,2012-05-11
ocd-division/country:ca/csd:4811061,2012-0090,90,Fire investigation report,general,2012-04-02,2012-05-14
ocd-division/country:ca/csd:4811061,2012-0140,140,Fire investigation report,general,2012-05-14,2012-05-14
ocd-division/country:ca/csd:4811061,2012-0095,95,Class Security Permissions for named individual,general,2012-04-10,2012-05-16
ocd-division/country:ca/csd:4811061,2012-0133,133,Law enforcement disclosure,general,2012-05-10,2012-05-16
ocd-division/country:ca/csd:4811061,2012-0134,134,Law enforcement disclosure,general,2012-05-10,2012-05-16
ocd-division/country:ca/csd:4811061,2012-0135,135,Law enforcement disclosure,general,2012-05-10,2012-05-16
ocd-division/country:ca/csd:4811061,2012-0136,136,Law enforcement disclosure,general,2012-05-10,2012-05-16
ocd-division/country:ca/csd:4811061,2012-0058,58,Fire investigation report,general,2012-02-23,2012-05-17
ocd-division/country:ca/csd:4811061,2012-0072,72,Fire investigation report,general,2012-03-15,2012-05-17
ocd-division/country:ca/csd:4811061,2012-0105,105,Fire investigation report,general,2012-04-16,2012-05-17
ocd-division/country:ca/csd:4811061,2012-0106,106,Fire investigation report,general,2012-04-16,2012-05-17
ocd-division/country:ca/csd:4811061,2012-0092,92,"Transit operator commendation, concerns or complaints",general,2012-03-29,2012-05-18
ocd-division/country:ca/csd:4811061,2012-0138,138,Patient Care Report,general,2012-05-11,2012-05-22
ocd-division/country:ca/csd:4811061,2012-0137,137,Emergency Services Report,general,2012-05-11,2012-05-23
ocd-division/country:ca/csd:4811061,2012-0148,148,"Licensing, permits and qualification records",general,2012-05-23,2012-05-23
ocd-division/country:ca/csd:4811061,2012-0142,142,Patient Care Report,personal,2012-05-17,2012-05-24
ocd-division/country:ca/csd:4811061,2012-0149,149,"Licensing, permits and qualification records",general,2012-05-23,2012-05-24
ocd-division/country:ca/csd:4811061,2012-0088,88,Fire investigation report,general,2012-03-27,2012-05-28
ocd-division/country:ca/csd:4811061,2012-0146,146,Fire investigation report,general,2012-05-23,2012-05-28
ocd-division/country:ca/csd:4811061,2012-0147,147,Fire investigation report,general,2012-05-23,2012-05-28
ocd-division/country:ca/csd:4811061,2012-0151,151,Fire investigation report,general,2012-05-25,2012-05-28
ocd-division/country:ca/csd:4811061,2012-0011,11,Proposed downtown sports and entertainment district,general,2012-01-11,2012-05-29
ocd-division/country:ca/csd:4811061,2012-0152,152,Fire investigation report,general,2012-05-28,2012-05-30
ocd-division/country:ca/csd:4811061,2012-0083,83,DATS customer file,general,2012-03-21,2012-06-01
ocd-division/country:ca/csd:4811061,2012-0131,131,Digesters 7 and 8 Project at the Gold Bar Waste Water Treatment Plant,general,2012-05-03,2012-06-01
ocd-division/country:ca/csd:4811061,2012-0107,107,Fire investigation report,general,2012-04-16,2012-06-04
ocd-division/country:ca/csd:4811061,2012-0156,156,Fire investigation report,general,2012-05-30,2012-06-04
ocd-division/country:ca/csd:4811061,2012-0159,159,Business license records & permits,general,2012-06-04,2012-06-04
ocd-division/country:ca/csd:4811061,2012-0145,145,Geotechnical report,general,2012-05-10,2012-06-05
ocd-division/country:ca/csd:4811061,2012-0160,160,Patient Care Report,general,2012-06-05,2012-06-05
ocd-division/country:ca/csd:4811061,2012-0161,161,Fire investigation report,general,2012-06-05,2012-06-05
ocd-division/country:ca/csd:4811061,2012-0132,132,Fire Services Rossdale Station 21,general,2012-05-09,2012-06-06
ocd-division/country:ca/csd:4811061,2012-0085,85,Fire investigation report,general,2012-03-22,2012-06-07
ocd-division/country:ca/csd:4811061,2012-0144,144,Copy of IT Security Review Audit - Management Response,general,2012-05-18,2012-06-07
ocd-division/country:ca/csd:4811061,2012-0153,153,Transportation Report,general,2012-05-28,2012-06-07
ocd-division/country:ca/csd:4811061,2012-0154,154,Transportation Report,general,2012-05-28,2012-06-07
ocd-division/country:ca/csd:4811061,2012-0155,155,Dog bite report,general,2012-05-29,2012-06-11
ocd-division/country:ca/csd:4811061,2012-0164,164,Emergency Services Report,general,2012-06-07,2012-06-11
ocd-division/country:ca/csd:4811061,2012-0165,165,Emergency Services Report,general,2012-06-07,2012-06-11
ocd-division/country:ca/csd:4811061,2012-0163,163,Fire investigation report,general,2012-06-06,2012-06-12
ocd-division/country:ca/csd:4811061,2012-0150,150,Records related to driver fitness,personal,2012-05-23,2012-06-14
ocd-division/country:ca/csd:4811061,2012-0044,44,Fire investigation report,general,2012-02-08,2012-06-16
ocd-division/country:ca/csd:4811061,2012-0174,174,Fire investigation report,general,2012-06-19,2012-06-20
ocd-division/country:ca/csd:4811061,2012-0176,176,Patient Care Report,general,2012-06-20,2012-06-20
ocd-division/country:ca/csd:4811061,2012-0177,177,Fire investigation report,general,2012-06-20,2012-06-20
ocd-division/country:ca/csd:4811061,2012-0141,141,Transit accident/claim file,personal,2012-05-16,2012-06-21
ocd-division/country:ca/csd:4811061,2012-0167,167,General repeal bylaw,,2012-06-08,2012-06-21
ocd-division/country:ca/csd:4811061,2012-0171,171,Spill of hydraulic oil,,2012-06-15,2012-06-21
ocd-division/country:ca/csd:4811061,2012-0168,168,Patient Care Report,general,2012-06-11,2012-06-22
ocd-division/country:ca/csd:4811061,2012-0143,143,Geotechnical Assessment Report,general,2012-05-17,2012-06-26
ocd-division/country:ca/csd:4811061,2012-0173,173,Paper and electronic files from or to named person where the applicant was the subject of the record,personal,2012-05-29,2012-06-28
ocd-division/country:ca/csd:4811061,2012-0112,112,List  of all payments made by the city for goods and/or services,general,2012-04-17,2012-07-03
ocd-division/country:ca/csd:4811061,2012-0128,128,"Placement of advertising and signage on bus shelters, benches, roadways",general,2012-04-19,2012-07-03
ocd-division/country:ca/csd:4811061,2012-0162,162,Fire investigation report,general,2012-06-06,2012-07-03
ocd-division/country:ca/csd:4811061,2012-0170,170,Fire Services  Rossdale Station 21,general,2012-06-11,2012-07-03
ocd-division/country:ca/csd:4811061,2012-0175,175,Property complaints,general,2012-06-19,2012-07-03
ocd-division/country:ca/csd:4811061,2012-0158,158,Business license records & permits,general,2012-06-04,2012-07-04
ocd-division/country:ca/csd:4811061,2012-0169,169,Animal control records,general,2012-06-11,2012-07-04
ocd-division/country:ca/csd:4811061,2012-0179,179,Dog bite report,general,2012-06-21,2012-07-04
ocd-division/country:ca/csd:4811061,2012-0184,184,Fire investigation report,general,2012-06-13,2012-07-05
ocd-division/country:ca/csd:4811061,2012-0185,185,Fire investigation report ,general,2012-06-11,2012-07-05
ocd-division/country:ca/csd:4811061,2012-0063-002,63,All records regarding apartment building,general,2012-07-01,2012-07-06
ocd-division/country:ca/csd:4811061,2012-0032,32,Fire investigation report,general,2012-01-30,2012-07-09
ocd-division/country:ca/csd:4811061,2012-0053,53,Fire investigation report,general,2012-02-15,2012-07-09
ocd-division/country:ca/csd:4811061,2012-0074,74,Fire investigation report,general,2012-03-15,2012-07-09
ocd-division/country:ca/csd:4811061,2012-0181,181,Memorandum Of Understanding re: Twin arena facility Bonnie Doon Campus ,general,2012-06-07,2012-07-09
ocd-division/country:ca/csd:4811061,2012-0186,186,Fire investigation report ,general,2012-07-04,2012-07-09
ocd-division/country:ca/csd:4811061,2012-0049,49,Fire investigation report,general,2012-02-13,2012-07-10
ocd-division/country:ca/csd:4811061,2012-0190,190,Fire investigation report ,general,2012-07-06,2012-07-10
ocd-division/country:ca/csd:4811061,2012-0129,129,Phase I Environmental Site Assessment,general,2012-04-25,2012-07-11
ocd-division/country:ca/csd:4811061,2012-0192,192,Fire investigation report ,general,2012-07-06,2012-07-12
ocd-division/country:ca/csd:4811061,2012-0024,24,Privacy complaint,,2012-01-25,2012-07-13
ocd-division/country:ca/csd:4811061,2012-0130,130,"Personnel file, incident inspection file",general,2012-04-26,2012-07-13
ocd-division/country:ca/csd:4811061,2012-0180,180,Records relating to FOIP request 2012-G-0143,general,2012-06-21,2012-07-23
ocd-division/country:ca/csd:4811061,2012-0157,157,Property complaints,general,2012-05-25,2012-07-25
ocd-division/country:ca/csd:4811061,2012-0207,207,Patient Care Report,general,2012-07-25,2012-07-25
ocd-division/country:ca/csd:4811061,2012-0208,208,Patient Care Report,general,2012-07-25,2012-07-25
ocd-division/country:ca/csd:4811061,2012-0210,210,Patient Care Report,general,2012-07-25,2012-07-25
ocd-division/country:ca/csd:4811061,2012-0198,198,Fire investigation report,general,2012-07-13,2012-07-26
ocd-division/country:ca/csd:4811061,2012-0203,203,Fire investigation report,general,2012-07-19,2012-07-26
ocd-division/country:ca/csd:4811061,2012-0205,205,Patient Care Report,general,2012-07-20,2012-07-26
ocd-division/country:ca/csd:4811061,2012-0212,212,Patient Care Report,general,2012-07-26,2012-07-26
ocd-division/country:ca/csd:4811061,2012-0187,187,All records regarding Safe Harbour Homes,general,2012-06-29,2012-07-27
ocd-division/country:ca/csd:4811061,2012-0206,206,Fire investigation report,general,2012-07-20,2012-07-27
ocd-division/country:ca/csd:4811061,2012-0191,191,Animal control records,general,2012-07-06,2012-07-30
ocd-division/country:ca/csd:4811061,2012-0201,201,Fire investigation report,general,2012-07-18,2012-07-30
ocd-division/country:ca/csd:4811061,2012-0211,211,Patient Care Report,general,2012-07-25,2012-07-30
ocd-division/country:ca/csd:4811061,2012-0086,86,Fire investigation report,general,2012-03-22,2012-07-31
ocd-division/country:ca/csd:4811061,2012-0104,104,Fire investigation report,general,2012-04-16,2012-07-31
ocd-division/country:ca/csd:4811061,2012-0197,197,Counselling file for named individual,personal,2012-07-11,2012-07-31
ocd-division/country:ca/csd:4811061,2012-0214,214,Fire investigation report ,general,2012-07-27,2012-07-31
ocd-division/country:ca/csd:4811061,2012-0216,216,Fire investigation report,general,2012-07-30,2012-07-31
ocd-division/country:ca/csd:4811061,2012-0193,193,Patient Care Report,personal,2012-07-10,2012-08-01
ocd-division/country:ca/csd:4811061,2012-0200,200,Fire investigation report,general,2012-07-18,2012-08-01
ocd-division/country:ca/csd:4811061,2012-0127,127,All information regarding Carpool & Rideshare and a named individual,general,2012-04-30,2012-08-02
ocd-division/country:ca/csd:4811061,2012-0172,172,"Tender #919255 pricing, scoring, all pages, forms",general,2012-06-18,2012-08-08
ocd-division/country:ca/csd:4811061,2012-0195,195,Contracts for advertising on bus benches and shelters,general,2012-07-09,2012-08-08
ocd-division/country:ca/csd:4811061,2012-0221,221,Dog bite report,general,2012-08-02,2012-08-09
ocd-division/country:ca/csd:4811061,2012-0196,196,Fire inspection report,general,2012-07-10,2012-08-10
ocd-division/country:ca/csd:4811061,2012-0202,202,Lot grading and drainage inspection documents ,general,2012-07-19,2012-08-14
ocd-division/country:ca/csd:4811061,2012-0183,183,Traffic count and flow information,general,2012-06-29,2012-08-15
ocd-division/country:ca/csd:4811061,2012-0223,223,Patient Care Report,general,2012-08-02,2012-08-15
ocd-division/country:ca/csd:4811061,2012-0228,228,Accident report,general,2012-08-14,2012-08-15
ocd-division/country:ca/csd:4811061,2012-0209,209,Fire investigation report,general,2012-07-24,2012-08-17
ocd-division/country:ca/csd:4811061,2012-0220,220,911 transcript of car accident call,general,2012-08-01,2012-08-17
ocd-division/country:ca/csd:4811061,2012-0204,204,Fire investigation report,general,2012-07-19,2012-08-18
ocd-division/country:ca/csd:4811061,2012-0229,229,Property information,,2012-08-14,2012-08-20
ocd-division/country:ca/csd:4811061,2012-0224,224,Dog bite report,general,2012-08-07,2012-08-21
ocd-division/country:ca/csd:4811061,2012-0215,215,Contract for Jasper Avenue Road Rehabilitation ,general,2012-07-23,2012-08-22
ocd-division/country:ca/csd:4811061,2012-0213,213,Tax and licensing records ,general,2012-07-25,2012-08-24
ocd-division/country:ca/csd:4811061,2012-0235,235,Fire investigation report ,general,2012-08-21,2012-08-27
ocd-division/country:ca/csd:4811061,2012-0217,217,Stop smoking order,general,2012-07-30,2012-08-28
ocd-division/country:ca/csd:4811061,2012-0189,189,Property records ,general,2012-07-03,2012-08-29
ocd-division/country:ca/csd:4811061,2012-0218,218,Respectful workplace complaint report,personal,2012-07-31,2012-08-30
ocd-division/country:ca/csd:4811061,2012-0241,241,Patient Care Report,general,2012-08-29,2012-08-30
ocd-division/country:ca/csd:4811061,2012-0243,243,Dog bite report,general,2012-08-29,2012-09-04
ocd-division/country:ca/csd:4811061,2012-0219,219,Drainage records,general,2012-07-31,2012-09-05
ocd-division/country:ca/csd:4811061,2012-0249,249,Noise complaint,general,2012-08-31,2012-09-05
ocd-division/country:ca/csd:4811061,2012-0251,251,Patient Care Report,general,2012-09-05,2012-09-05
ocd-division/country:ca/csd:4811061,2012-0247,247,Consult of records relating to Housing and Grant Funding,,2012-08-30,2012-09-07
ocd-division/country:ca/csd:4811061,2012-0237,237,Flood incident records,general,2012-08-23,2012-09-12
ocd-division/country:ca/csd:4811061,2012-0248,248,Development and Zoning Current Planning File,general,2012-08-31,2012-09-12
ocd-division/country:ca/csd:4811061,2012-0225,225,Privacy complaint,general,2012-08-10,2012-09-13
ocd-division/country:ca/csd:4811061,2012-0234,234,Fire investigation report,general,2012-08-21,2012-09-13
ocd-division/country:ca/csd:4811061,2012-0252,252,Patient Care Report,general,2012-09-13,2012-09-13
ocd-division/country:ca/csd:4811061,2012-0261,261,"Edmonton Combative Sports Commission meeting minutes, Quarterly reports and Annual Report to Council",general,2012-09-10,2012-09-13
ocd-division/country:ca/csd:4811061,2012-0178,178,Fire investigation report ,general,2012-06-20,2012-09-14
ocd-division/country:ca/csd:4811061,2012-0236,236,Fire investigation report,general,2012-08-23,2012-09-14
ocd-division/country:ca/csd:4811061,2012-0239,239,Appraisals of road allowance abutting a property,general,2012-08-23,2012-09-14
ocd-division/country:ca/csd:4811061,2012-0240,240,Derelict housing file ,general,2012-08-24,2012-09-14
ocd-division/country:ca/csd:4811061,2012-0245,245,Fire investigation report ,general,2012-08-29,2012-09-14
ocd-division/country:ca/csd:4811061,2012-0244,244,Fire investigation report,general,2012-08-29,2012-09-20
ocd-division/country:ca/csd:4811061,2012-0262,262,Identity of a 911 caller from EMS Event,general,2012-09-14,2012-09-20
ocd-division/country:ca/csd:4811061,2012-0246,246,"Development concerns, FOIP process, 311 calls",general,2012-08-29,2012-09-25
ocd-division/country:ca/csd:4811061,2012-0125,125,Review of 2012-G-0096 ,,2012-04-24,2012-09-26
ocd-division/country:ca/csd:4811061,2012-0250,250,Fire investigation report ,general,2012-08-31,2012-09-26
ocd-division/country:ca/csd:4811061,2012-0263,263,Patient Care Report ,general,2012-09-14,2012-09-27
ocd-division/country:ca/csd:4811061,2012-0139,139,Sidewalk claim,general,2012-05-14,2012-10-01
ocd-division/country:ca/csd:4811061,2012-0188,188,Property records,general,2012-07-03,2012-10-01
ocd-division/country:ca/csd:4811061,2012-0230,230,Traffic tickets issued near 99 Avenue and 114 Street in 2011,general,2012-08-15,2012-10-01
ocd-division/country:ca/csd:4811061,2012-0265,265,Phase I Environmental Site Assessment,general,2012-09-20,2012-10-02
ocd-division/country:ca/csd:4811061,2012-0267,267,Phase 1 Environmental Site Assessment,general,,2012-10-02
ocd-division/country:ca/csd:4811061,2012-0268,268,Drainage information,general,2012-09-21,2012-10-02
ocd-division/country:ca/csd:4811061,2012-0289,289,DATS independent assessment,personal,2012-09-27,2012-10-02
ocd-division/country:ca/csd:4811061,2012-0256,256,Fire investigation report,general,2012-09-06,2012-10-03
ocd-division/country:ca/csd:4811061,2012-0264,264,Business licences issued ,general,2012-09-18,2012-10-09
ocd-division/country:ca/csd:4811061,2012-0269,269,Drainage information,general,2012-09-24,2012-10-09
ocd-division/country:ca/csd:4811061,2012-0284,284,Child Welfare Assessment of a named individual,personal,2012-09-26,2012-10-10
ocd-division/country:ca/csd:4811061,2012-0096,96,Cultural Society records,general,2012-04-10,2012-10-11
ocd-division/country:ca/csd:4811061,2012-0259,259,Fire investigation report,general,2012-09-11,2012-10-11
ocd-division/country:ca/csd:4811061,2012-0312,312,Fire at seniors residence,,2012-10-11,2012-10-11
ocd-division/country:ca/csd:4811061,2012-0199,199,Employee file,general,2012-07-03,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0266,266,Phase I Environmental Site Assessment,general,2012-09-20,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0287,287,Patient Care Report,general,2012-09-26,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0290,290,Disability managment file,general,2012-09-27,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0298,298,Drainage records,general,2012-10-03,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0303,303,Patient Care Report,general,2012-10-04,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0308,308,Patient Care Report,general,2012-10-05,2012-10-12
ocd-division/country:ca/csd:4811061,2012-0233,233,Dog bite report ,personal,2012-08-21,2012-10-15
ocd-division/country:ca/csd:4811061,2012-0258,258,Patient Care Report,general,2012-09-11,2012-10-15
ocd-division/country:ca/csd:4811061,2012-0242,242,Fire investigation report,general,2012-08-29,2012-10-16
ocd-division/country:ca/csd:4811061,2012-0301,301,Fire investigation report,general,2012-10-04,2012-10-16
ocd-division/country:ca/csd:4811061,2012-0063-003,63,All records regarding apartment building,general,2012-10-01,2012-10-17
ocd-division/country:ca/csd:4811061,2012-0302,302,Drainage records,general,2012-10-04,2012-10-17
