division_id,identifier,position,abstract,classification,applicant_type,date_accepted,date,decision,number_of_pages
ocd-division/country:ca/csd:3520005,AG-2011-00093,93,"A copy of the audio EMS 911 call regarding an incident at the Rothbart Pain Management Clinic ( [a specified address] ) on April 28, 2010 at approximately 1:20 p.m.",general,public,2011-01-07,2011-01-24,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00035,35,"A copy of the fire report for [a specified address], Toronto, from Sept. 10, 2010. Fire incident no.: F10103171.",general,business,2011-01-10,2011-01-24,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00051,51,"A copy of the fire report for [a specified address], Toronto, from Oct. 10, 2010.",general,public,2011-01-11,2011-01-24,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00080,80,"A copy of all third party sign permits for [a specified address], the property is owned by Corsetti Meat Packers Realty Ltd.",general,public,2011-01-13,2011-01-24,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00103,103,A copy of the geotechnical report for [a specified address].,general,public,2011-01-17,2011-01-24,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00015,15,A copy of all building and demolition permits for both existing and former structures for [a specified address].,general,business,2011-01-05,2011-01-25,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00018,18,"A copy of all documentation relating to the fire on CPR Right of Way behind [a specified address], Toronto, on August 10, 2006, including the Public Health file with respect to [a specified address]",general,public,2011-01-05,2011-01-25,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00061,61,A copy of all building permits and demolition permits for both existing and former structures for [a specified address].,general,business,2011-01-12,2011-01-25,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00087,87,"A copy of archival records pertaining to 'Working Women Community Centre'. Fonds 200, Series 1524, File 168.",general,public,2011-01-14,2011-01-25,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00119,119,A copy of the archival records pertaining to Prisoners at the Don Jail.,general,public,2011-01-19,2011-01-25,disclosed in part,
ocd-division/country:ca/csd:3520005,AP-2011-00004,4,A copy of the Ontario Works file for [an individual].,personal,public,2011-01-04,2011-01-26,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00049,49,"A copy of the Fire Report for [a specified address], Toronto, from Nov. 5, 2010.",general,business,2011-01-11,2011-01-26,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00054,54,"A copy of the fire report for [a specified address], Toronto, from Nov. 7, 2010.",general,business,2011-01-11,2011-01-26,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00072,72,"A copy of all building permit documents, drawings, and site plan documents/drawings, and correspondence for the commercial property at [a specified address], Toronto.",general,business,2011-01-12,2011-01-26,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00112,112,"A copy of the plumbing and structural inspection reports given in 2008 following extensive renovations at [a specified address], Etobicoke. (Permit 08 190176 PLB 00PS & 08 190176 BLD 00 SR).",general,public,2011-01-17,2011-01-26,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00019,19,"A copy of the most recent listing of companies paying sewage surcharge fees to the City of Toronto, including how many companies are paying an excess of $50 000 per year (without names).",general,public,2011-01-04,2011-01-27,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00089,89,"A copy of the record of the two 911 calls made on July 26, 2010 regarding [an individual] Isles slip and fall incident at the Food Basics Parking lot at the corner of Ellesmere and Neilson Rd.",general,public,2011-01-14,2011-01-27,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00128,128,A copy of the examiner's notes for [a specified address] regarding permit no. 78510.,general,public,2011-01-20,2011-01-27,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00006,6,"A copy of the fire report for [a specified address], Scarborough, from Dec. 3, 2010.",general,business,2011-01-04,2011-01-28,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00021,21,"A copy of all building inspection notes for [a specified address], including file no.: 08-193614.",general,public,2011-01-05,2011-01-28,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00069,69,A copy of the complaint record made against [a specified address] regarding a beauty salon being run from the house. Also a copy of the complainant's name.,general,public,2011-01-10,2011-01-28,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00118,118,"A copy of the ML&S file no. 9-181499-PRS-00-IR, including the complaint, the response from the landlord and the inspection notes. The complaint was made by [an individual] against her landlord about the cleaning of the heating vents at [a specified address].",general,public,2011-01-19,2011-01-28,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00153,153,A copy of the geotechnical reports for [a specified address].,general,public,2011-01-25,2011-01-28,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00001,1,"A copy of the dog attack report with respect to [an individual]. The incident occurred on July 15, 2009.",general,public,2011-01-04,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00002,2,"A copy of all complaints, inspections, violations, orders, investigations, notices etc. for Unit 1603, [a specified address], from as far back as possible.",general,public,2011-01-04,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00007,7,A copy of all records including inspection notes from September 2007 to present regarding [a specified address] (disregarding any emails from the requester).,general,public,2011-01-04,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00013,13,"A copy of the inspection report(s) for the townhouses on [a specified address]  (347, 349, 351, 353...etc) regarding the furnace replacements by Brial Mechanical Inc. in August 2010.",general,public,2011-01-05,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00031,31,"A copy of the inspection report for [a specified address]. from Oct. 1, 2010 pertaining to a rooming house.",general,public,2011-01-05,2011-01-31,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00034,34,"A copy of the fire report for [a specified address], from Nov. 20 & 21, 2010.",general,business,2011-01-10,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00038,38,A copy of a complete search of permit history for [a specified address] (not including the 2010 file) from as far back as possible.,general,public,2011-01-10,2011-01-31,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00057,57,"A copy of the application for [a specified address] to be turned into a two unit building (prior to 1989).  Also a copy of building inspection report by Barry Quirke dated October 30, 1998.",general,public,2011-01-11,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00071,71,"A copy of all building permit documents, drawings, and site plan documents/drawings, and correspondence for the commercial property at [a specified address], Toronto.",general,business,2011-01-12,2011-01-31,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00077,77,A copy of all building permits and demolition permits for both existing and former structures at [a specified address].,general,business,2011-01-12,2011-01-31,all disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-00120,120,"A copy of the Ontario Works file for [an individual] from Jan. 24, 2002 to present.",personal,public,2011-01-19,2011-01-31,discontinued,
ocd-division/country:ca/csd:3520005,AG-2011-00140,140,A copy of the building files 313738 and 282059 pertaining to [a specified address].,general,public,2011-01-24,2011-01-31,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00014,14,"A copy of the building permit inspection on August 23, 2010 for 335 and 345 [a specified address], including copies of the permits 10-240929, 10-248433, and 10-248439.",general,public,2011-01-05,2011-02-01,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00041,41,A copy of the number of employees or number of full time equivalent employees as dedicated communications people (including media relations) and a copy of the budget for each of the past 3 fiscal years for public communications.,general,media,2011-01-07,2011-02-01,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00047,47,"A copy of all correspondence from the owner at  [a specified address], and the City regarding the motion by Councillor Di Giorgio - ""a formal poll being conducted and such poll having a favourable result"". Excerpt from council meeting minutes of June 24.",general,public,2011-01-07,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00033,33,"A copy of the fire report for [a specified address], from Nov. 20 & 21, 2010.",general,business,2011-01-10,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00036,36,"A copy of the building files for [a specified address], Lot 3, Plan M459.",general,business,2011-01-10,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00048,48,"A copy of the number of dogs, cats, and wildlife that were admitted, adopted, and euthanized by Toronto Animal Services in 2008, 2009, & 2010. Also a copy of the TAS budget for 2008, 2009 & 2010, including the amount received in adoption and licensing fees",general,public,2011-01-10,2011-02-01,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00050,50,"A copy of the Fire Report for [a specified address], Scarborough, from Oct. 27, 2010.",general,business,2011-01-11,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00052,52,"A copy of the fire report for [a specified address], Toronto, from Jan. 2, 2011.",general,public,2011-01-11,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00066,66,"A copy of the fire report for [a specified address], North York, from Dec. 16, 2010.",general,business,2011-01-12,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00067,67,"A copy of the fire report for [a specified address], North York, from Dec. 18, 2010.",general,business,2011-01-12,2011-02-01,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00095,95,A copy of ML&S report with respect to complaint # 799-311.  The inspector was Manzurul Hoque and the complaint was initiated at the end of November 2010.,general,public,2011-01-14,2011-02-01,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00009,9,"A copy of the fire report for a motor vehicle accident that occurred on [a specified address], Scarborough, on June 20, 2010.",general,business,2011-01-05,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00032,32,"A copy of the fire report for [a specified address], Unit 206, fire incident no.: F10146018.",general,public,2011-01-05,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00098,98,A copy of all documents with respect to noise complaints for the location at [a specified address].  The file number is 10-230-251.,general,public,2011-01-14,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00115,115,"A copy of the dog bite report from Public Health. [an individual] was bit by a dog on Oct. 18, 2010.",general,public,2011-01-19,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00138,138,"A copy of the ML&S inspection report for [a specified address], from Nov. 26, 2010. File #2765250.",general,public,2011-01-19,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00164,164,A copy of the engineers inspection reports for construction and demolition at [a specified address] (building permit no.: 10213262) and all related correspondence.,general,public,2011-01-24,2011-02-02,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00189,189,A copy of the geotechnical reports for [a specified address].,general,public,2011-01-31,2011-02-02,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00083,83,A copy of the geotechnical report for [a specified address].,general,public,2011-01-14,2011-02-03,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00085,85,"A copy of all ML&S documents, including inspection reports and By-Law complaints for [a specified address].",general,public,2011-01-14,2011-02-03,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00076,76,"A copy of all corporate information for Limo-Franchise Inc., including the contact information of the officer(s) of Limo-Franchise Inc. and confirmation that the address is [a specified address], Brampton, phone no. [removed].",general,public,2011-01-19,2011-02-03,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00124,124,"A copy of the fire report from [a specified address], Unit 1 & 2, Scarborough, from Oct. 27, 2010. F10123000.",general,business,2011-01-20,2011-02-03,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00105,105,"A copy of the fire report for [a specified address], Scarborough, from Dec. 16, 2010.",general,business,2011-01-18,2011-02-04,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00028,28,"A copy of the complaint made to Public Health regarding [a specified address] and a copy of the Public Health inspection report completed on Nov. 16, 2010.",general,public,2011-01-07,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00056,56,"A copy of the PFR records pertaining to the pruning of the Maple tree at [a specified address] over the past 6 months and a copy of fallen limbs in the same area from Sept. 24 to 25, 2010.",general,public,2011-01-10,2011-02-07,all disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-00039,39,"A copy of the complete employment records for [an employee] from St. Marcelleus Community Centre, including salary information, sick & vacation days, benefits, and record of employment.",personal,public,2011-01-10,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00075,75,A copy of all orders and complaints issued or known against builder [an individual] for construction at [a specified address].,general,public,2011-01-11,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00068,68,"A copy of the fire report for [a specified address], Toronto, from a slip and fall incident on April 4, 2008.",general,public,2011-01-12,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00073,73,"A copy of all building permit documents, drawings, and site plan documents/drawings, and correspondence for the commercial property at [a specified address], Toronto.",general,business,2011-01-12,2011-02-07,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00074,74,"A copy of all building permit documents, drawings, and site plan documents/drawings, and correspondence for the commercial property at [a specified address], Toronto.",general,business,2011-01-12,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00079,79,"A copy of the fire report for [a specified address] from July 15, 2009.",general,public,2011-01-12,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00078,78,"A copy of the fire report for [a specified address], from Dec. 5, 2010. Fire incident no.: F10138528.",general,public,2011-01-13,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00082,82,"A copy of the fire inspection report from Jan. 11, 2011.",general,public,2011-01-13,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00086,86,"A copy of all Animal Services and Public Health records pertaining to the dog bite incident on July 5, 2010 at [a specified address] involving [an individual] and dog owner [an individual].",general,public,2011-01-14,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00088,88,A copy of all ML&S inspections and By-Law complaints for [a specified address].,general,public,2011-01-14,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00099,99,"The licence plate numbers of hot dog vendors stationed on Front St, s/e corner with Bay St., in front of the Union Station.",general,public,2011-01-17,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00136,136,A copy of all building inspections for [a specified address].,general,public,2011-01-19,2011-02-07,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00147,147,"A copy of the fire report for [a specified address], Scarborough, on Dec. 24, 2010.",general,business,2011-01-24,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00183,183,A copy of all information and records on the work completed to [a specified address] in the 1990's.,general,public,2011-01-28,2011-02-07,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00037,37,A copy of all documents relating to the demolition / construction of [a specified address] and the damage at [a specified address].,general,public,2011-01-10,2011-02-08,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00058,58,"A copy of the records pertaining to the tree branches that have fallen on [a specified address] since 2007, including the reports made in response to the calls made to 311 anf PFR.",general,public,2011-01-11,2011-02-08,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00070,70,"A copy of all building permit documents, drawings, and site plan documents/drawings, and correspondence for the commercial property at [a specified address], Toronto.",general,business,2011-01-12,2011-02-08,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00101,101,A copy of the building permit application form for [a specified address] from 2007 and 2008.,general,public,2011-01-12,2011-02-08,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00135,135,"A copy of the letter sent to the previous property owner at [a specified address] indicating that he must revert from pad parking to green space. RACS#415186. The letter was dated approx. Feb. 17, 2009.",general,public,2011-01-18,2011-02-08,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00121,121,"A copy of CCTV images from Birchmount Community Centre located at [a specified address]  Cameras for ""change rooms"" and ""pool enter"" and ""parking east"" and ""parking west"".  Date of incident was Jan. 17, 2011 between 8.30 am to 11.00 am.",general,public,2011-01-20,2011-02-08,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00142,142,"A copy of all patrol, inspection, maintenance, work order, traffic, and sewage maintenance records pertaining to the [a specified address] extension southbound curb lane at approximately one-half kilometre south of [a specified address], Toronto.",general,business,2011-01-24,2011-02-08,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00194,194,"A copy of all reports relating to the dog attack that occurred in [a specified address] on July 19, 2009 at approx. 9 p.m.",general,public,2011-02-01,2011-02-08,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00213,213,"A copy of all Public Health reports for [a specified address], Toronto, from 2010 (Inspector: Raj Benny).",general,public,2011-02-02,2011-02-08,all disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-00063,63,A copy of the Ontario Works file for [an individual] from 2004 to present.,personal,public,2011-01-12,2011-02-09,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00102,102,A copy of the geotechnical report for [a specified address].,general,public,2011-01-17,2011-02-09,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00100,100,A copy of geotechnical reports for [a specified address].,general,public,2011-01-18,2011-02-09,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00116,116,"A copy of the supplementary report (dated July 18, 2005) from the Treasurer, the Fire Chief and General Manager (pertaining to the RFP No.: 3806-04-0246 for the Supply and Delivery of Bunker Suits and to Provide a Care Program for the Bunker Suits).",general,business,2011-01-19,2011-02-09,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00123,123,A copy of the fire report for the incident that occurred at [a specified address] and [a specified address] around 7:30a.m in 2008. F08067787.,general,public,2011-01-20,2011-02-09,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00168,168,"A copy of the visitors' log for one year prior to April 2, 2007 to indicate when [an individual] visited [an individual] at [a specified address].",general,public,2011-01-26,2011-02-09,nothing disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-00186,186,A copy of the Ontario Works file for [an individual].,personal,public,2011-01-31,2011-02-09,discontinued,
ocd-division/country:ca/csd:3520005,AG-2011-00205,205,A copy of any documents showing a name change for the Water & Solid Waste Management Utility Bill or proof that [an individual] did not authorize to have his name on the utility bill.,general,public,2011-02-01,2011-02-09,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00060,60,"A copy of Greenwood Park archival records, including several Fonds 200, series 487 files.",general,public,2011-01-12,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00084,84,"A copy of the ML&S file number B01324 submitted by [a specified address] with respect to to her complaint regarding action roofing or action roofers 1 [a specified address], including the results of the investigation conducted by ML&S.",general,public,2011-01-14,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00096,96,"A copy of building examiners' notes for [a specified address], The permits are 415875 and 99-108776.",general,public,2011-01-17,2011-02-10,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00097,97,A copy of the Water and Solid Waste Management utility bill for [a specified address] for the period from May to Dec. 2010.  Also a copy of signed application form for the transfer of water account from the owner (requester) to the tenant,general,public,2011-01-17,2011-02-10,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00137,137,"A copy of any complaints against [a specified address], North York/Downsview from June 2007 to January 2010.",general,public,2011-01-19,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00122,122,A copy of the geotechnical reports for [a specified address].,general,public,2011-01-20,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00134,134,"A copy of the property survey for [a specified address], Scarborough, and a copy of any incidences arising from tree root growth (plumbing or other) that occurred at [a specified address]",general,public,2011-01-21,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00149,149,"A copy of the fire report for the motor vehicle accident located at [a specified address] and [a specified address] from Nov. 24, 2008. Fire Incident No.: F08132767.",general,public,2011-01-25,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00150,150,"A copy of the fire reports for the motor vehicle accident located at [a specified address] and [a specified address] from January 7, 2010. Fire Incident No.'s: F10002724 & F10002733.",general,public,2011-01-25,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00165,165,A copy of records stating when or if lead pipes connecting [a specified address] to the water main (service lines) were replaced.,general,public,2011-01-25,2011-02-10,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00166,166,"A copy of the fire report for [a specified address], Toronto, from Jan. 6, 2011.",general,business,2011-01-26,2011-02-10,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00175,175,"A copy of all 911 phone calls, productions, reports, forms, notes, photographs, videos, correspondence, orders, etc. from EMS regarding the explosions from Sunrise Propane Plant [a specified address] on Aug. 10, 2008).",general,business,2011-01-27,,,
ocd-division/country:ca/csd:3520005,AG-2011-00224,224,A copy of geotechnical reports for [a specified address].,general,public,2011-02-04,2011-02-10,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00081,81,"A copy of the building permit files for [a specified address], Toronto.",general,public,2011-01-15,2011-02-11,disclosed in part,
ocd-division/country:ca/csd:3520005,PHI-2011-00141,141,"A copy of the EMS voice recording from Mr. [an individual] to 911 on November 3, 2010 at 13:02 and at 13:22.",personal,public,2011-01-17,2011-02-11,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00094,94,A copy of the December 15 Approved Proposal forthe demolition of the Hearn Generating Station located at [a specified address].,general,public,2011-01-18,2011-02-11,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00117,117,"A copy of the following building permit no.: (1) 1979 026457 BLD 00HH 140233, (2) 1983 014395 BLD ))HH 191654, (3) 1983 018366 BLD ))HH 195643, and (4) 1986 025394 BLD 00HH 244797.",general,public,2011-01-19,2011-02-11,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00132,132,"A copy of the fire report for [a specified address], Toronto, from Nov. 26, 2010, including any additional pertinent information.",general,business,2011-01-21,2011-02-11,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00155,155,"A copy of all ML&S inspection or violation documents pertaining to Queen Bleach Co. Ltd. (previous: [a specified address], Toronto, current: [a specified address], Mississauga).",general,public,2011-01-25,2011-02-11,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00216,216,"A copy of the ML&S property survey of [a specified address] from Oct., 2010 and a copy of the original ML&S property survey for [a specified address] used in the order no. 10 116386 PRS 00 IV",general,public,2011-02-03,2011-02-11,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00222,222,"A copy of  all documents relating to complaints filed with Toronto Building, ML&S  and Urban Forestry against [a specified address], Toronto.",general,public,2011-02-04,2011-02-11,disclosed in part,
ocd-division/country:ca/csd:3520005,AP-2011-00090,90,A copy of the Ontario Works file for [an individual].,personal,public,2011-01-14,2011-02-14,disclosed in part,
ocd-division/country:ca/csd:3520005,AP-2011-00092,92,A copy of the Ontario Works file for [an individual],personal,public,2011-01-14,2011-02-14,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00110,110,"A copy of the fire report for [a specified address], Etobicoke, from Dec. 11, 2010.",general,public,2011-01-17,2011-02-14,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00106,106,"A copy of the fire report for [a specified address], North York, from Dec. 21, 2010.",general,business,2011-01-18,2011-02-14,disclosed in part,
